trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
1,2026-05-08 15:41:30.538051+00:00,AAPL,hit_stop,-1.067,-106.71,9893.29,10000.0,-1.07,True
2,2026-05-08 15:41:30.538883+00:00,AAPL,hit_target,2.289,226.45,10119.74,10119.74,0.0,False
3,2026-05-08 15:41:30.540613+00:00,AAPL,expired,1.324,134.03,10253.77,10253.77,0.0,False
4,2026-05-08 15:41:30.543618+00:00,AAPL,hit_stop,-1.071,-109.77,10144.0,10253.77,-1.07,True
5,2026-05-08 15:41:30.556333+00:00,AAPL,expired,1.126,114.25,10258.25,10258.25,0.0,False
6,2026-05-08 15:41:30.556807+00:00,AAPL,expired,0.639,65.52,10323.77,10323.77,0.0,False
7,2026-05-08 15:41:30.558780+00:00,AAPL,expired,-0.064,-6.64,10317.13,10323.77,-0.06,True
8,2026-05-08 15:41:30.559275+00:00,AAPL,hit_stop,-1.06,-109.36,10207.77,10323.77,-1.12,True
9,2026-05-08 15:41:30.575755+00:00,AAPL,expired,1.047,106.92,10314.69,10323.77,-0.09,True
10,2026-05-08 15:41:30.577449+00:00,AAPL,hit_target,3.503,361.28,10675.97,10675.97,0.0,False
11,2026-05-08 15:41:30.577749+00:00,AAPL,hit_target,2.36,251.99,10927.96,10927.96,0.0,False
12,2026-05-08 15:41:30.597900+00:00,AAPL,hit_target,2.945,321.81,11249.77,11249.77,0.0,False
13,2026-05-08 15:41:30.599406+00:00,AAPL,hit_stop,-1.044,-117.46,11132.31,11249.77,-1.04,True
14,2026-05-08 15:41:30.627038+00:00,AAPL,hit_stop,-1.038,-115.54,11016.78,11249.77,-2.07,True
15,2026-05-08 15:41:30.632277+00:00,AAPL,hit_target,1.216,133.92,11150.7,11249.77,-0.88,True
16,2026-05-08 15:41:30.632738+00:00,AAPL,expired,-0.231,-25.81,11124.89,11249.77,-1.11,True
17,2026-05-08 15:41:30.635437+00:00,AAPL,hit_target,1.125,125.13,11250.02,11250.02,0.0,False
18,2026-05-08 15:41:30.635830+00:00,AAPL,hit_stop,-1.035,-116.4,11133.62,11250.02,-1.03,True
19,2026-05-08 15:41:30.642475+00:00,AAPL,hit_stop,-1.039,-115.66,11017.97,11250.02,-2.06,True
20,2026-05-08 15:41:31.445281+00:00,MSFT,expired,3.301,363.75,11381.72,11381.72,0.0,False
21,2026-05-08 15:41:31.453006+00:00,MSFT,hit_stop,-1.068,-121.56,11260.16,11381.72,-1.07,True
22,2026-05-08 15:41:31.462982+00:00,MSFT,hit_target,1.816,204.48,11464.64,11464.64,0.0,False
23,2026-05-08 15:41:31.465258+00:00,MSFT,expired,1.344,154.12,11618.76,11618.76,0.0,False
24,2026-05-08 15:41:31.465718+00:00,MSFT,expired,-0.043,-5.05,11613.71,11618.76,-0.04,True
25,2026-05-08 15:41:31.471980+00:00,MSFT,hit_target,2.182,253.46,11867.17,11867.17,0.0,False
26,2026-05-08 15:41:31.472603+00:00,MSFT,expired,0.228,27.09,11894.26,11894.26,0.0,False
27,2026-05-08 15:41:31.478758+00:00,MSFT,hit_stop,-1.072,-127.52,11766.74,11894.26,-1.07,True
28,2026-05-08 15:41:31.488176+00:00,MSFT,expired,0.899,105.73,11872.47,11894.26,-0.18,True
29,2026-05-08 15:41:31.489240+00:00,MSFT,hit_stop,-1.048,-124.44,11748.03,11894.26,-1.23,True
30,2026-05-08 15:41:31.497061+00:00,MSFT,expired,-0.628,-73.77,11674.26,11894.26,-1.85,True
31,2026-05-08 15:41:31.507535+00:00,MSFT,hit_stop,-1.059,-123.59,11550.67,11894.26,-2.89,True
32,2026-05-08 15:41:31.522451+00:00,MSFT,expired,0.426,49.24,11599.91,11894.26,-2.47,True
33,2026-05-08 15:41:31.522914+00:00,MSFT,expired,0.617,71.63,11671.54,11894.26,-1.87,True
34,2026-05-08 15:41:31.524997+00:00,MSFT,hit_target,2.207,257.53,11929.07,11929.07,0.0,False
35,2026-05-08 15:41:31.526711+00:00,MSFT,hit_target,2.29,273.22,12202.3,12202.3,0.0,False
36,2026-05-08 15:41:31.538532+00:00,MSFT,hit_stop,-1.087,-132.58,12069.71,12202.3,-1.09,True
37,2026-05-08 15:41:32.342665+00:00,NVDA,expired,1.767,213.3,12283.01,12283.01,0.0,False
38,2026-05-08 15:41:32.346936+00:00,NVDA,hit_target,1.463,179.75,12462.76,12462.76,0.0,False
39,2026-05-08 15:41:32.348032+00:00,NVDA,hit_target,2.615,325.88,12788.64,12788.64,0.0,False
40,2026-05-08 15:41:32.362068+00:00,NVDA,hit_stop,-1.02,-130.5,12658.13,12788.64,-1.02,True
41,2026-05-08 15:41:32.378421+00:00,NVDA,hit_target,2.338,295.97,12954.1,12954.1,0.0,False
42,2026-05-08 15:41:32.379221+00:00,NVDA,hit_stop,-1.032,-133.69,12820.42,12954.1,-1.03,True
43,2026-05-08 15:41:33.023484+00:00,AMZN,hit_target,2.113,270.88,13091.3,13091.3,0.0,False
44,2026-05-08 15:41:33.024168+00:00,AMZN,expired,2.97,388.75,13480.05,13480.05,0.0,False
45,2026-05-08 15:41:33.024818+00:00,AMZN,expired,0.519,69.94,13549.99,13549.99,0.0,False
46,2026-05-08 15:41:33.027409+00:00,AMZN,expired,0.95,128.75,13678.73,13678.73,0.0,False
