run,final_capital,total_return_pct,max_drawdown_pct,max_consec_losses
0,33970.97,239.71,-15.6,11
1,22499.03,124.99,-6.34,6
2,15551.54,55.52,-10.64,11
3,28193.74,181.94,-7.94,6
4,26053.78,160.54,-7.15,8
5,14819.09,48.19,-16.38,8
6,18031.72,80.32,-14.0,11
7,15556.02,55.56,-18.25,14
8,20794.88,107.95,-11.31,11
9,14746.86,47.47,-9.19,6
10,18466.44,84.66,-15.19,13
11,22552.48,125.52,-9.66,7
12,11122.35,11.22,-21.37,11
13,24980.58,149.81,-8.16,9
14,14367.01,43.67,-14.01,8
15,27162.25,171.62,-6.96,8
16,27386.38,173.86,-11.74,7
17,24366.06,143.66,-12.3,9
18,24125.68,141.26,-9.75,6
19,20975.27,109.75,-7.73,8
20,19649.75,96.5,-13.77,11
21,21743.87,117.44,-8.2,8
22,21505.6,115.06,-9.31,7
23,17392.24,73.92,-8.26,7
24,17309.96,73.1,-9.77,8
25,25894.16,158.94,-7.17,7
26,17718.48,77.18,-8.17,6
27,23489.66,134.9,-9.19,8
28,16354.93,63.55,-16.42,8
29,15092.23,50.92,-10.09,10
30,26279.19,162.79,-10.78,5
31,18541.49,85.41,-15.16,6
32,20958.3,109.58,-9.78,7
33,18996.68,89.97,-13.43,7
34,24309.03,143.09,-6.92,7
35,21763.05,117.63,-12.55,10
36,18920.09,89.2,-10.87,7
37,15033.68,50.34,-14.88,8
38,16470.75,64.71,-8.26,6
39,15035.06,50.35,-19.65,16
40,20932.11,109.32,-16.76,10
41,21824.56,118.25,-9.26,9
42,23416.03,134.16,-8.15,6
43,21913.23,119.13,-7.34,9
44,28151.72,181.52,-9.43,7
45,14265.49,42.65,-9.63,8
46,16187.14,61.87,-8.81,6
47,13567.46,35.67,-11.37,9
48,24373.81,143.74,-10.52,7
49,17543.32,75.43,-13.09,13
50,16823.23,68.23,-10.62,6
51,19358.74,93.59,-8.82,6
52,18595.63,85.96,-15.57,8
53,15443.27,54.43,-12.7,8
54,14636.77,46.37,-11.28,11
55,19372.05,93.72,-6.64,7
56,19315.97,93.16,-13.15,9
57,20485.28,104.85,-10.06,9
58,23648.96,136.49,-11.68,9
59,21904.52,119.05,-13.53,7
60,24394.74,143.95,-10.94,9
61,13964.61,39.65,-10.43,8
62,24355.98,143.56,-8.96,8
63,20308.38,103.08,-15.27,9
64,21165.8,111.66,-13.81,10
65,19437.2,94.37,-15.02,7
66,20577.71,105.78,-11.97,8
67,13766.5,37.66,-11.64,9
68,24360.79,143.61,-13.36,10
69,21697.06,116.97,-7.41,6
70,26181.81,161.82,-12.62,8
71,19107.54,91.08,-13.6,8
72,13567.4,35.67,-9.06,9
73,15965.56,59.66,-9.41,8
74,16548.86,65.49,-11.73,7
75,12318.48,23.18,-22.23,19
76,17160.08,71.6,-12.49,8
77,24391.24,143.91,-8.69,6
78,20007.15,100.07,-9.61,10
79,21869.24,118.69,-8.96,6
80,19218.98,92.19,-9.01,6
81,14696.25,46.96,-12.78,6
82,17973.58,79.74,-17.35,9
83,24726.19,147.26,-7.55,6
84,16593.61,65.94,-12.19,6
85,17027.52,70.28,-12.3,7
86,17821.67,78.22,-12.7,9
