trade_n,rolling_mean,rolling_std,rolling_sharpe
30,0.5,1.47,0.34
31,0.608,1.475,0.412
32,0.559,1.439,0.388
33,0.505,1.467,0.344
34,0.505,1.467,0.344
35,0.509,1.47,0.346
36,0.442,1.492,0.296
37,0.41,1.512,0.271
38,0.429,1.498,0.286
39,0.348,1.508,0.231
40,0.197,1.401,0.141
41,0.261,1.388,0.188
42,0.203,1.303,0.156
43,0.303,1.323,0.229
44,0.333,1.36,0.245
45,0.333,1.36,0.245
46,0.301,1.335,0.225
47,0.284,1.327,0.214
48,0.338,1.342,0.252
49,0.388,1.4,0.277
50,0.388,1.4,0.277
51,0.388,1.4,0.277
52,0.393,1.406,0.279
53,0.279,1.376,0.203
54,0.384,1.394,0.275
55,0.455,1.376,0.331
56,0.528,1.354,0.39
57,0.591,1.324,0.446
58,0.495,1.332,0.372
59,0.403,1.337,0.302
60,0.372,1.359,0.274
61,0.339,1.323,0.256
62,0.277,1.341,0.206
63,0.277,1.341,0.206
64,0.391,1.374,0.284
65,0.359,1.355,0.265
66,0.359,1.355,0.265
67,0.359,1.355,0.265
68,0.341,1.37,0.249
69,0.341,1.37,0.249
70,0.341,1.37,0.249
71,0.349,1.374,0.254
72,0.274,1.384,0.198
73,0.174,1.364,0.128
74,0.119,1.304,0.091
75,0.195,1.303,0.149
76,0.133,1.315,0.101
77,0.079,1.327,0.059
78,-0.004,1.314,-0.003
79,-0.049,1.242,-0.039
80,-0.049,1.242,-0.039
81,-0.049,1.242,-0.039
82,-0.161,1.165,-0.138
83,-0.161,1.165,-0.138
84,-0.266,1.09,-0.244
85,-0.24,1.133,-0.211
86,-0.312,1.109,-0.282
87,-0.375,1.092,-0.344
88,-0.375,1.092,-0.344
89,-0.296,1.131,-0.261
90,-0.296,1.131,-0.261
91,-0.37,1.1,-0.336
92,-0.37,1.1,-0.336
93,-0.279,1.157,-0.241
94,-0.3,1.111,-0.27
95,-0.254,1.18,-0.216
96,-0.254,1.18,-0.216
97,-0.151,1.247,-0.121
98,0.031,1.491,0.021
99,0.15,1.548,0.097
100,0.265,1.588,0.167
101,0.267,1.589,0.168
102,0.31,1.571,0.197
103,0.31,1.571,0.197
104,0.253,1.587,0.16
105,0.249,1.584,0.157
106,0.333,1.582,0.21
107,0.39,1.564,0.25
108,0.472,1.552,0.304
109,0.415,1.551,0.268
110,0.428,1.541,0.278
111,0.428,1.541,0.278
112,0.428,1.541,0.278
113,0.529,1.544,0.343
114,0.529,1.544,0.343
115,0.432,1.545,0.279
116,0.55,1.567,0.351
117,0.55,1.567,0.351
118,0.636,1.55,0.41
119,0.557,1.571,0.354
120,0.557,1.571,0.354
121,0.557,1.571,0.354
122,0.658,1.566,0.42
123,0.568,1.581,0.359
124,0.556,1.573,0.353
125,0.489,1.548,0.316
126,0.58,1.537,0.377
127,0.476,1.535,0.31
128,0.295,1.363,0.216
129,0.176,1.311,0.134
130,0.085,1.24,0.068
131,0.106,1.267,0.084
132,0.2,1.378,0.145
133,0.283,1.379,0.205
134,0.355,1.365,0.26
135,0.428,1.465,0.292
136,0.433,1.469,0.295
137,0.388,1.481,0.262
138,0.306,1.488,0.206
139,0.357,1.49,0.24
140,0.345,1.5,0.23
141,0.394,1.478,0.266
142,0.427,1.457,0.293
143,0.326,1.447,0.225
144,0.341,1.435,0.238
145,0.341,1.435,0.238
146,0.223,1.392,0.16
147,0.305,1.39,0.22
148,0.321,1.408,0.228
149,0.375,1.386,0.27
150,0.419,1.362,0.308
151,0.509,1.353,0.376
152,0.511,1.355,0.377
153,0.557,1.325,0.42
154,0.494,1.327,0.373
155,0.458,1.353,0.338
156,0.367,1.357,0.271
157,0.367,1.357,0.271
158,0.465,1.36,0.342
159,0.538,1.338,0.402
160,0.572,1.329,0.431
161,0.504,1.313,0.384
162,0.439,1.226,0.358
163,0.469,1.264,0.371
164,0.398,1.285,0.31
165,0.316,1.162,0.272
166,0.227,1.157,0.196
167,0.215,1.168,0.184
168,0.268,1.148,0.234
169,0.196,1.157,0.17
170,0.196,1.157,0.17
171,0.161,1.165,0.139
172,0.229,1.213,0.188
173,0.417,1.434,0.291
174,0.572,1.573,0.364
175,0.623,1.544,0.404
176,0.623,1.544,0.404
177,0.658,1.575,0.418
178,0.635,1.559,0.407
179,0.581,1.587,0.366
180,0.583,1.587,0.367
181,0.493,1.598,0.309
182,0.39,1.591,0.245
183,0.343,1.611,0.213
184,0.361,1.605,0.225
185,0.388,1.588,0.244
186,0.388,1.588,0.244
187,0.459,1.571,0.292
188,0.482,1.598,0.302
189,0.409,1.614,0.253
190,0.371,1.619,0.229
191,0.426,1.627,0.262
192,0.441,1.636,0.27
193,0.328,1.614,0.203
194,0.365,1.595,0.229
195,0.302,1.611,0.187
196,0.396,1.615,0.245
197,0.494,1.616,0.306
198,0.559,1.66,0.337
199,0.559,1.66,0.337
200,0.618,1.633,0.378
201,0.604,1.646,0.367
202,0.593,1.637,0.362
203,0.404,1.47,0.275
204,0.234,1.313,0.178
205,0.183,1.331,0.137
206,0.183,1.331,0.137
207,0.198,1.361,0.146
208,0.168,1.344,0.125
209,0.266,1.363,0.195
210,0.258,1.363,0.19
211,0.333,1.353,0.246
212,0.493,1.467,0.336
213,0.493,1.467,0.336
214,0.457,1.491,0.307
215,0.43,1.51,0.285
216,0.43,1.51,0.285
217,0.358,1.526,0.235
218,0.324,1.484,0.218
219,0.406,1.477,0.275
220,0.495,1.508,0.328
221,0.413,1.521,0.272
222,0.326,1.525,0.214
223,0.379,1.505,0.252
224,0.342,1.525,0.224
225,0.342,1.525,0.224
226,0.329,1.513,0.217
227,0.273,1.482,0.184
228,0.155,1.435,0.108
229,0.254,1.455,0.175
230,0.195,1.469,0.133
231,0.259,1.457,0.178
232,0.209,1.432,0.146
233,0.263,1.415,0.186
234,0.263,1.415,0.186
235,0.263,1.415,0.186
236,0.263,1.415,0.186
237,0.268,1.425,0.188
238,0.218,1.442,0.151
239,0.121,1.421,0.085
240,0.082,1.436,0.057
241,0.082,1.436,0.057
242,0.015,1.298,0.011
243,0.015,1.298,0.011
244,0.138,1.37,0.1
245,0.209,1.365,0.153
246,0.319,1.396,0.228
247,0.319,1.396,0.228
248,0.315,1.393,0.226
249,0.333,1.412,0.236
250,0.37,1.478,0.25
251,0.37,1.478,0.25
252,0.37,1.478,0.25
253,0.399,1.491,0.268
254,0.454,1.468,0.309
255,0.454,1.468,0.309
256,0.373,1.479,0.252
257,0.331,1.5,0.22
258,0.331,1.5,0.22
259,0.328,1.498,0.219
260,0.328,1.498,0.219
261,0.311,1.494,0.208
262,0.272,1.513,0.18
263,0.289,1.52,0.19
264,0.346,1.502,0.23
265,0.366,1.487,0.246
266,0.366,1.487,0.246
267,0.229,1.414,0.162
268,0.276,1.395,0.198
269,0.331,1.375,0.24
270,0.434,1.388,0.313
271,0.359,1.403,0.256
272,0.267,1.398,0.191
273,0.381,1.43,0.266
274,0.258,1.383,0.186
275,0.186,1.391,0.134
276,0.102,1.335,0.076
277,0.102,1.335,0.076
278,0.02,1.324,0.015
279,0.047,1.374,0.034
280,0.039,1.355,0.029
281,0.039,1.355,0.029
282,0.039,1.355,0.029
283,-0.043,1.34,-0.032
284,0.004,1.388,0.003
285,0.004,1.388,0.003
286,0.124,1.453,0.085
287,0.234,1.49,0.157
288,0.36,1.54,0.234
289,0.37,1.552,0.239
290,0.503,1.6,0.314
291,0.456,1.623,0.281
292,0.537,1.608,0.334
293,0.465,1.628,0.286
294,0.441,1.63,0.271
295,0.421,1.644,0.256
296,0.421,1.644,0.256
297,0.492,1.626,0.302
298,0.445,1.649,0.27
299,0.39,1.669,0.234
300,0.4,1.68,0.238
301,0.4,1.68,0.238
302,0.4,1.68,0.238
303,0.286,1.654,0.173
304,0.367,1.649,0.222
305,0.367,1.649,0.222
306,0.395,1.645,0.24
307,0.395,1.645,0.24
