trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
1,2026-04-23 00:57:21.753576+00:00,JPM,hit_stop,-1.0,-100.0,9900.0,10000.0,-1.0,True
2,2026-05-01 15:12:34.038899+00:00,NVDA,hit_stop,-1.0,-99.0,9801.0,10000.0,-1.99,True
3,2026-05-07 13:33:45.840603+00:00,GOOGL,hit_target,4.444,435.54,10236.54,10236.54,0.0,False
4,2026-05-08 15:40:32.551187+00:00,AVGO,hit_stop,-1.0,-102.37,10134.18,10236.54,-1.0,True
5,2026-05-12 16:31:22.526864+00:00,NVDA,hit_target,4.024,407.77,10541.95,10541.95,0.0,False
6,2026-05-14 16:18:15.416440+00:00,NVDA,hit_target,2.548,268.65,10810.6,10810.6,0.0,False
7,2026-05-19 17:11:41.521914+00:00,GOOGL,hit_target,4.523,489.02,11299.62,11299.62,0.0,False
8,2026-05-26 17:34:19.505122+00:00,NVDA,hit_stop,-1.0,-113.0,11186.63,11299.62,-1.0,True
9,2026-05-27 17:30:49.376264+00:00,HON,hit_target,1.313,146.92,11333.54,11333.54,0.0,False
10,2026-05-28 17:41:23.470881+00:00,NVDA,hit_stop,-1.0,-113.34,11220.21,11333.54,-1.0,True
11,2026-05-29 17:41:29.341587+00:00,V,expired,-0.427,-47.87,11172.34,11333.54,-1.42,True
12,2026-06-02 18:09:20.775594+00:00,NKE,hit_stop,-1.0,-111.72,11060.62,11333.54,-2.41,True
13,2026-06-03 18:31:38.282034+00:00,AVGO,hit_target,1.25,138.28,11198.9,11333.54,-1.19,True
14,2026-06-03 18:31:38.282034+00:00,XLP,hit_stop,-1.0,-111.99,11086.91,11333.54,-2.18,True
15,2026-06-04 17:20:36.179545+00:00,HON,hit_stop,-1.0,-110.87,10976.04,11333.54,-3.15,True
16,2026-06-04 17:20:36.179545+00:00,HON,hit_stop,-1.0,-109.76,10866.28,11333.54,-4.12,True
17,2026-06-09 16:42:20.225969+00:00,AAPL,expired,0.818,88.88,10955.16,11333.54,-3.34,True
18,2026-06-10 17:32:42.015289+00:00,GS,hit_stop,-1.0,-109.55,10845.61,11333.54,-4.31,True
19,2026-06-10 17:32:42.015289+00:00,AAPL,hit_stop,-1.0,-108.46,10737.15,11333.54,-5.26,True
20,2026-06-16 18:37:53.430505+00:00,LMT,hit_stop,-1.0,-107.37,10629.78,11333.54,-6.21,True
21,2026-06-18 17:25:08.324998+00:00,GS,hit_target,2.271,241.4,10871.18,11333.54,-4.08,True
22,2026-06-24 16:31:17.464047+00:00,LLY,expired,0.93,101.05,10972.23,11333.54,-3.19,True
23,2026-07-07 16:40:35.321582+00:00,JPM,hit_stop,-1.0,-109.72,10862.51,11333.54,-4.16,True
24,2026-07-08 16:08:33.554494+00:00,DE,hit_stop,-1.0,-108.63,10753.88,11333.54,-5.11,True
25,2026-07-09 16:36:57.022931+00:00,HD,hit_stop,-1.0,-107.54,10646.34,11333.54,-6.06,True
26,2026-07-09 16:36:57.022931+00:00,HD,hit_stop,-1.0,-106.46,10539.88,11333.54,-7.0,True
27,2026-07-09 16:36:57.022931+00:00,HD,hit_stop,-1.0,-105.4,10434.48,11333.54,-7.93,True
28,2026-07-09 16:36:57.022931+00:00,AXP,hit_stop,-1.0,-104.34,10330.14,11333.54,-8.85,True
29,2026-07-10 16:32:33.429741+00:00,LMT,hit_stop,-1.0,-103.3,10226.84,11333.54,-9.76,True
30,2026-07-10 16:32:33.429741+00:00,UNH,expired,1.575,161.1,10387.93,11333.54,-8.34,True
31,2026-07-13 16:42:46.693780+00:00,XLV,hit_stop,-1.0,-103.88,10284.06,11333.54,-9.26,True
32,2026-07-14 15:41:40.361673+00:00,ABT,hit_stop,-1.0,-102.84,10181.22,11333.54,-10.17,True
33,2026-07-14 15:41:40.361673+00:00,LLY,hit_stop,-1.0,-101.81,10079.4,11333.54,-11.07,True
34,2026-07-15 15:45:03.221502+00:00,ABT,hit_stop,-1.0,-100.79,9978.61,11333.54,-11.96,True
35,2026-07-16 15:45:40.902339+00:00,BRK-B,hit_stop,-1.0,-99.79,9878.82,11333.54,-12.84,True
36,2026-07-16 15:45:40.902339+00:00,BRK-B,hit_stop,-1.0,-98.79,9780.03,11333.54,-13.71,True
37,2026-07-17 15:34:57.174521+00:00,JPM,expired,0.968,94.69,9874.73,11333.54,-12.87,True
38,2026-07-20 15:59:45.705405+00:00,GS,hit_stop,-1.0,-98.75,9775.98,11333.54,-13.74,True
39,2026-07-22 15:49:40.871333+00:00,HD,hit_stop,-1.0,-97.76,9678.22,11333.54,-14.61,True
40,2026-07-28 16:12:29.056068+00:00,LLY,expired,-0.284,-27.52,9650.7,11333.54,-14.85,True
41,2026-07-28 16:12:29.056068+00:00,UNH,hit_stop,-1.0,-96.51,9554.2,11333.54,-15.7,True
42,2026-07-29 20:15:53.729613+00:00,XLV,expired,1.559,148.91,9703.11,11333.54,-14.39,True
43,2026-07-31 16:08:28.722119+00:00,XLF,expired,1.036,100.54,9803.65,11333.54,-13.5,True
44,2026-07-31 16:08:28.722119+00:00,V,expired,1.078,105.64,9909.28,11333.54,-12.57,True
45,2026-08-03 16:37:12.056370+00:00,XLF,expired,0.779,77.15,9986.43,11333.54,-11.89,True
