trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
1,2026-04-23 00:57:21.753576+00:00,JPM,hit_stop,-1.087,-108.66,9891.34,10000.0,-1.09,True
2,2026-05-01 15:12:34.038899+00:00,NVDA,hit_stop,-1.036,-102.44,9788.89,10000.0,-2.11,True
3,2026-05-07 13:33:45.840603+00:00,GOOGL,hit_target,4.404,431.13,10220.02,10220.02,0.0,False
4,2026-05-08 15:40:32.551187+00:00,AVGO,hit_stop,-1.032,-105.44,10114.58,10220.02,-1.03,True
5,2026-05-12 16:31:22.526864+00:00,NVDA,hit_target,3.98,402.61,10517.19,10517.19,0.0,False
6,2026-05-14 16:18:15.416440+00:00,NVDA,hit_target,2.518,264.81,10782.0,10782.0,0.0,False
7,2026-05-19 17:11:41.521914+00:00,GOOGL,hit_target,4.484,483.5,11265.5,11265.5,0.0,False
8,2026-05-26 17:34:19.505122+00:00,NVDA,hit_stop,-1.031,-116.19,11149.3,11265.5,-1.03,True
9,2026-05-27 17:30:49.376264+00:00,HON,hit_target,1.273,141.96,11291.26,11291.26,0.0,False
10,2026-05-28 17:41:23.470881+00:00,NVDA,hit_stop,-1.032,-116.47,11174.79,11291.26,-1.03,True
11,2026-05-29 17:41:29.341587+00:00,V,expired,-0.452,-50.49,11124.31,11291.26,-1.48,True
12,2026-06-02 18:09:20.775594+00:00,NKE,hit_stop,-1.034,-115.06,11009.24,11291.26,-2.5,True
13,2026-06-03 18:31:38.282034+00:00,AVGO,hit_target,1.221,134.4,11143.64,11291.26,-1.31,True
14,2026-06-03 18:31:38.282034+00:00,XLP,hit_stop,-1.042,-116.1,11027.54,11291.26,-2.34,True
15,2026-06-04 17:20:36.179545+00:00,HON,hit_stop,-1.04,-114.65,10912.89,11291.26,-3.35,True
16,2026-06-04 17:20:36.179545+00:00,HON,hit_stop,-1.039,-113.36,10799.53,11291.26,-4.35,True
17,2026-06-09 16:42:20.225969+00:00,AAPL,expired,0.779,84.1,10883.63,11291.26,-3.61,True
18,2026-06-10 17:32:42.015289+00:00,GS,hit_stop,-1.039,-113.04,10770.6,11291.26,-4.61,True
19,2026-06-10 17:32:42.015289+00:00,AAPL,hit_stop,-1.041,-112.15,10658.44,11291.26,-5.6,True
20,2026-06-16 18:37:53.430505+00:00,LMT,hit_stop,-1.041,-110.97,10547.47,11291.26,-6.59,True
21,2026-06-18 17:25:08.324998+00:00,GS,hit_target,2.236,235.84,10783.31,11291.26,-4.5,True
22,2026-06-24 16:31:17.464047+00:00,LLY,expired,0.895,96.51,10879.82,11291.26,-3.64,True
23,2026-07-07 16:40:35.321582+00:00,JPM,hit_stop,-1.035,-112.59,10767.23,11291.26,-4.64,True
24,2026-07-08 16:08:33.554494+00:00,DE,hit_stop,-1.038,-111.72,10655.51,11291.26,-5.63,True
25,2026-07-09 16:36:57.022931+00:00,HD,hit_stop,-1.037,-110.53,10544.98,11291.26,-6.61,True
26,2026-07-09 16:36:57.022931+00:00,HD,hit_stop,-1.036,-109.24,10435.74,11291.26,-7.58,True
27,2026-07-09 16:36:57.022931+00:00,HD,hit_stop,-1.031,-107.62,10328.13,11291.26,-8.53,True
28,2026-07-09 16:36:57.022931+00:00,AXP,hit_stop,-1.036,-106.97,10221.16,11291.26,-9.48,True
29,2026-07-10 16:32:33.429741+00:00,LMT,hit_stop,-1.032,-105.45,10115.71,11291.26,-10.41,True
30,2026-07-10 16:32:33.429741+00:00,UNH,expired,1.534,155.19,10270.9,11291.26,-9.04,True
31,2026-07-13 16:42:46.693780+00:00,XLV,hit_stop,-1.063,-109.18,10161.72,11291.26,-10.0,True
32,2026-07-14 15:41:40.361673+00:00,ABT,hit_stop,-1.028,-104.46,10057.26,11291.26,-10.93,True
33,2026-07-14 15:41:40.361673+00:00,LLY,hit_stop,-1.031,-103.68,9953.58,11291.26,-11.85,True
34,2026-07-15 15:45:03.221502+00:00,ABT,hit_stop,-1.033,-102.78,9850.8,11291.26,-12.76,True
35,2026-07-16 15:45:40.902339+00:00,BRK-B,hit_stop,-1.059,-104.34,9746.46,11291.26,-13.68,True
36,2026-07-16 15:45:40.902339+00:00,BRK-B,hit_stop,-1.052,-102.55,9643.9,11291.26,-14.59,True
37,2026-07-17 15:34:57.174521+00:00,JPM,expired,0.929,89.6,9733.51,11291.26,-13.8,True
38,2026-07-20 15:59:45.705405+00:00,GS,hit_stop,-1.023,-99.62,9633.89,11291.26,-14.68,True
39,2026-07-22 15:49:40.871333+00:00,HD,hit_stop,-1.035,-99.74,9534.15,11291.26,-15.56,True
40,2026-07-28 16:12:29.056068+00:00,LLY,expired,-0.309,-29.49,9504.65,11291.26,-15.82,True
41,2026-07-28 16:12:29.056068+00:00,UNH,hit_stop,-1.042,-99.06,9405.59,11291.26,-16.7,True
42,2026-07-29 20:15:53.729613+00:00,XLV,expired,1.508,141.88,9547.47,11291.26,-15.44,True
43,2026-07-31 16:08:28.722119+00:00,XLF,expired,0.993,94.79,9642.26,11291.26,-14.6,True
44,2026-07-31 16:08:28.722119+00:00,V,expired,1.04,100.29,9742.55,11291.26,-13.72,True
45,2026-08-03 16:37:12.056370+00:00,XLF,expired,0.729,70.99,9813.54,11291.26,-13.09,True
