run,final_capital,total_return_pct,max_drawdown_pct,max_consec_losses
0,9987.03,-0.13,-6.8,6
1,10036.39,0.36,-7.24,5
2,9769.7,-2.3,-7.73,8
3,9884.43,-1.16,-6.53,5
4,10323.03,3.23,-10.13,7
5,10065.96,0.66,-7.03,6
6,10969.09,9.69,-8.45,5
7,11320.97,13.21,-6.77,6
8,10312.59,3.13,-4.9,5
9,10515.76,5.16,-7.91,5
10,10295.57,2.96,-6.73,5
11,14297.08,42.97,-2.97,3
12,11044.42,10.44,-14.94,8
13,9632.54,-3.67,-12.28,7
14,8989.66,-10.1,-15.36,8
15,10519.42,5.19,-7.94,5
16,10185.46,1.85,-10.88,7
17,10899.13,8.99,-6.94,5
18,11575.59,15.76,-6.27,6
19,12020.18,20.2,-7.73,8
20,10767.82,7.68,-6.79,7
21,10733.77,7.34,-8.62,7
22,9844.87,-1.55,-11.25,8
23,8603.64,-13.96,-13.96,8
24,10843.69,8.44,-7.73,8
25,8550.43,-14.5,-18.06,8
26,9012.78,-9.87,-11.0,7
27,10644.99,6.45,-9.38,4
28,10311.38,3.11,-13.18,10
29,8819.83,-11.8,-15.26,13
30,9553.79,-4.46,-13.6,10
31,9552.88,-4.47,-9.44,8
32,12395.46,23.95,-4.35,5
33,10436.66,4.37,-14.77,7
34,10636.82,6.37,-13.72,9
35,9048.11,-9.52,-20.59,17
36,10089.92,0.9,-8.11,9
37,10359.15,3.59,-7.51,7
38,8966.23,-10.34,-11.06,7
39,9663.93,-3.36,-11.03,10
40,12663.29,26.63,-6.12,7
41,9845.14,-1.55,-10.73,7
42,10159.32,1.59,-18.27,14
43,11543.71,15.44,-5.29,6
44,11160.47,11.6,-8.85,6
45,9180.74,-8.19,-9.06,7
46,11143.79,11.44,-5.34,4
47,7783.11,-22.17,-22.22,10
48,10083.76,0.84,-7.04,4
49,11929.07,19.29,-5.85,6
50,9445.32,-5.55,-10.86,8
51,11848.86,18.49,-6.74,6
52,9545.01,-4.55,-17.24,13
53,10067.0,0.67,-8.82,9
54,10704.34,7.04,-8.14,6
55,13034.81,30.35,-3.94,4
56,9991.56,-0.08,-6.97,5
57,8880.79,-11.19,-14.11,11
58,11549.41,15.49,-6.48,5
59,11116.37,11.16,-6.18,4
60,11089.96,10.9,-7.49,6
61,10564.55,5.65,-7.73,8
62,11136.27,11.36,-6.55,5
63,10409.45,4.09,-7.73,8
64,12309.16,23.09,-6.23,4
65,9649.23,-3.51,-8.16,7
66,10365.63,3.66,-8.18,6
67,11317.74,13.18,-9.72,8
68,9832.22,-1.68,-7.66,8
69,9069.93,-9.3,-15.26,7
70,9340.39,-6.6,-9.62,6
71,8733.8,-12.66,-18.4,17
72,9780.69,-2.19,-9.65,6
73,9213.09,-7.87,-14.76,16
74,10842.88,8.43,-6.25,7
75,9276.18,-7.24,-13.58,9
76,9479.57,-5.2,-11.93,10
77,9521.24,-4.79,-19.08,22
78,9816.06,-1.84,-13.78,14
79,8589.57,-14.1,-16.21,9
80,9744.43,-2.56,-15.11,9
81,10782.84,7.83,-7.39,7
82,8571.21,-14.29,-14.75,7
83,8562.71,-14.37,-17.59,14
84,12012.03,20.12,-4.12,4
85,10021.2,0.21,-10.74,10
86,9834.94,-1.65,-10.66,5
87,10043.32,0.43,-8.45,5
88,10050.59,0.51,-11.75,9
89,12677.94,26.78,-8.39,6
90,9384.03,-6.16,-12.03,8
91,12301.53,23.02,-3.94,4
92,10221.47,2.21,-13.89,7
93,8801.52,-11.98,-12.45,12
94,9611.46,-3.89,-8.61,7
95,10347.86,3.48,-8.3,5
96,10740.92,7.41,-8.6,6
97,9368.43,-6.32,-9.95,7
98,9620.19,-3.8,-9.15,5
99,11075.39,10.75,-7.73,8
100,9401.78,-5.98,-9.36,10
101,8800.2,-12.0,-14.58,8
102,9021.14,-9.79,-18.25,10
103,9345.44,-6.55,-11.95,8
104,9732.44,-2.68,-9.36,6
105,12456.27,24.56,-7.68,7
106,8765.3,-12.35,-16.86,8
107,11795.57,17.96,-5.55,5
108,10117.8,1.18,-11.64,7
109,9069.0,-9.31,-13.02,7
110,12676.86,26.77,-5.35,4
111,10680.1,6.8,-7.46,4
112,9035.17,-9.65,-15.5,12
113,9402.42,-5.98,-11.76,5
114,10196.02,1.96,-7.08,5
115,10398.59,3.99,-9.85,7
116,9577.76,-4.22,-6.95,5
117,8454.09,-15.46,-17.34,7
118,8613.15,-13.87,-16.4,7
119,10584.22,5.84,-7.42,5
120,7999.52,-20.0,-21.2,8
121,8973.9,-10.26,-15.11,10
122,8620.35,-13.8,-15.68,14
123,11543.81,15.44,-10.85,12
124,8771.05,-12.29,-14.59,12
125,10392.96,3.93,-8.5,5
126,9781.64,-2.18,-13.62,9
127,9755.58,-2.44,-9.26,6
128,10146.17,1.46,-8.72,6
129,11637.39,16.37,-7.71,6
130,8990.89,-10.09,-14.09,6
131,12230.93,22.31,-8.37,8
132,11345.76,13.46,-7.99,9
133,9730.97,-2.69,-11.75,8
134,9915.25,-0.85,-10.86,9
135,9801.83,-1.98,-6.95,6
136,10964.67,9.65,-7.16,6
137,10461.28,4.61,-7.73,8
138,11628.64,16.29,-4.97,4
139,9917.41,-0.83,-8.31,7
140,12978.3,29.78,-5.85,6
141,10311.03,3.11,-9.83,5
142,10734.68,7.35,-5.34,5
143,11456.9,14.57,-3.75,4
144,10215.55,2.16,-5.85,6
145,11721.21,17.21,-8.65,9
146,11532.92,15.33,-7.32,8
147,10486.76,4.87,-6.73,6
148,9793.46,-2.07,-7.06,8
149,8269.16,-17.31,-17.31,9
150,10795.54,7.96,-5.34,5
151,11667.21,16.67,-7.73,8
152,10039.09,0.39,-11.89,10
153,8863.93,-11.36,-17.86,7
154,8334.11,-16.66,-19.88,9
155,8245.35,-17.55,-20.37,10
156,10833.32,8.33,-10.55,6
157,10627.12,6.27,-9.61,10
158,9225.38,-7.75,-14.77,11
159,10012.19,0.12,-7.73,8
160,8869.75,-11.3,-13.05,6
161,11155.87,11.56,-7.99,9
162,7690.1,-23.1,-23.1,16
163,10936.78,9.37,-7.6,6
164,9703.66,-2.96,-8.59,9
165,8821.15,-11.79,-13.12,9
166,9290.88,-7.09,-13.17,14
167,10439.1,4.39,-7.21,7
168,10743.36,7.43,-9.56,10
169,10248.28,2.48,-5.96,5
170,8783.96,-12.16,-17.11,5
171,8347.03,-16.53,-17.3,7
172,11239.19,12.39,-5.96,5
173,10158.2,1.58,-6.53,6
174,9493.34,-5.07,-9.95,11
175,11831.87,18.32,-5.84,5
176,12260.08,22.6,-5.57,5
177,10233.78,2.34,-9.43,11
178,9597.41,-4.03,-11.09,7
179,9643.91,-3.56,-7.99,5
