symbol,group,playbook,year,score,regime_score,setup_score,trigger_score,rr,rsi,adx,rs20,extension_pct,vol_ratio,pullback_atr,trend_quality,confluence_count,vix_proxy,mfe_pct,mae_pct,status,target_binary
AAPL,Tech,breakout,2023,10.0300,4.4300,2.0000,3.6000,2.1400,67.1200,33.5300,3.4000,14.0000,1.1600,1.7900,0.6600,3,16.0500,0.4196,-1.9887,hit_stop,0
AAPL,Tech,breakout,2023,9.0000,4.4500,2.0000,2.5500,2.3400,67.2200,28.7100,3.5700,14.4400,1.0000,1.9400,0.6700,1,17.4600,5.2279,-0.4333,hit_target,1
AAPL,Tech,breakout,2023,9.6000,4.7000,2.0000,2.9000,2.5900,74.2800,42.4300,1.1200,17.8000,1.0600,2.5100,0.8000,3,14.5000,5.4606,-0.9870,expired,0
AAPL,Tech,breakout,2023,9.0400,4.4900,2.0000,2.5500,2.1900,68.7600,42.1900,2.0500,18.5900,0.9600,1.9800,0.7000,1,13.4800,2.6566,-5.7898,hit_stop,0
AAPL,Tech,breakout,2023,10.0000,4.2500,2.1500,3.6000,2.4700,63.2100,19.4200,1.3700,5.8900,1.2000,1.9400,0.5700,3,14.8100,5.5882,-0.6286,expired,0
AAPL,Tech,breakout,2023,9.3500,4.4500,2.0000,2.9000,3.2900,68.4800,21.6300,3.0300,8.8900,1.0200,2.6500,0.6700,3,14.1600,2.8644,-1.1183,expired,0
AAPL,Tech,breakout,2023,8.5000,4.5000,2.0000,2.0000,2.9700,68.3200,32.2500,3.2600,10.8400,1.3600,2.0100,0.7000,2,12.8500,3.0935,-1.3118,expired,0
AAPL,Tech,breakout,2023,8.9300,4.5300,1.5000,2.9000,1.6500,69.5500,34.5200,0.7600,12.6800,1.4700,2.3900,0.7200,3,12.1900,0.4404,-2.0402,hit_stop,0
AAPL,Tech,breakout,2024,7.9000,3.8000,2.0000,2.1000,3.0000,67.7700,23.7700,4.7500,5.1400,1.1200,2.4800,0.7300,2,13.6000,4.7842,-0.6812,expired,0
AAPL,Tech,breakout,2024,8.7500,4.4000,2.0000,2.3500,3.5400,67.2900,33.6400,6.8400,7.5400,1.2600,1.7600,0.6500,1,12.9200,13.1319,-1.2793,hit_target,1
AAPL,Tech,breakout,2024,8.9500,4.5000,2.0000,2.4500,2.5300,71.1100,35.6000,4.1600,9.6500,1.0400,2.3000,0.7000,2,12.2200,13.7103,-0.0103,hit_target,1
AAPL,Tech,breakout,2024,8.5300,4.5800,1.0500,2.9000,3.0000,73.4100,19.9900,3.5000,14.4500,1.0000,2.7100,0.7400,3,13.4500,7.0767,-0.4775,hit_target,1
AAPL,Tech,breakout,2024,10.2400,4.6400,2.0000,3.6000,3.3400,72.3300,41.1600,11.4500,17.6000,2.9300,2.3500,0.7700,3,18.3600,1.8044,-5.3505,hit_stop,0
AAPL,Tech,breakout,2025,9.3100,4.4100,2.0000,2.9000,3.5500,70.0900,29.2000,15.1400,10.6400,1.2000,2.3900,0.6600,3,16.3500,0.5500,-5.8542,hit_stop,0
AAPL,Tech,breakout,2025,9.6300,4.4300,2.0000,3.2000,1.2500,66.3300,25.9400,1.7400,16.6900,1.9600,2.1100,0.6700,2,18.2300,5.5854,-2.7489,hit_target,1
AAPL,Tech,breakout,2025,9.3100,4.4100,2.0000,2.9000,2.0300,69.0300,25.2800,2.4000,18.6400,1.0100,2.5200,0.6600,3,15.7900,2.9858,-1.3751,expired,0
AAPL,Tech,pullback,2025,10.0400,4.3400,4.5000,1.7000,1.1500,59.8500,27.9700,6.0900,16.0700,1.1700,0.6400,0.6200,2,23.4300,4.4066,-0.0073,hit_target,1
AAPL,Tech,breakout,2025,9.6700,4.5700,2.0000,3.1000,1.3500,72.6500,31.7500,5.0700,19.9100,1.0100,1.9800,0.7300,3,17.2400,0.8456,-4.3292,hit_stop,0
AAPL,Tech,breakout,2026,8.3800,4.3800,1.6000,2.4000,2.3500,68.1400,25.6000,6.2000,11.9900,1.6000,2.3700,0.6400,3,18.6400,1.3676,-6.0250,hit_stop,0
MSFT,Tech,breakout,2023,9.5100,4.6100,2.0000,2.9000,2.9200,68.1400,39.5500,8.9900,18.5000,1.0700,2.1500,0.7500,3,16.9400,8.9158,-1.2719,expired,0
MSFT,Tech,breakout,2023,9.6400,4.5800,1.4600,3.6000,1.5300,70.3700,25.9700,1.6600,24.5700,2.5300,2.5100,0.7400,3,13.3000,1.2444,-2.3192,hit_stop,0
MSFT,Tech,breakout,2023,10.5000,4.2500,3.1000,3.1500,1.8600,57.9100,18.2300,2.8000,8.6400,1.0300,1.0800,0.5800,2,17.2100,6.5867,-2.4361,hit_target,1
MSFT,Tech,breakout,2023,7.8400,4.5400,1.0500,2.2500,2.3000,72.0600,19.2700,9.2400,15.9100,0.9900,2.9200,0.7200,2,14.8100,6.2876,-0.5355,expired,0
MSFT,Tech,breakout,2023,8.7700,4.6700,2.0000,2.1000,3.4600,72.5300,29.2700,8.5900,18.0200,1.0100,3.0500,0.7800,2,14.1600,3.5961,-2.1727,expired,0
MSFT,Tech,breakout,2024,9.0500,4.6000,2.0000,2.4500,2.2300,70.6600,23.6000,5.6200,16.8900,1.1400,2.2300,0.7500,2,13.8400,5.4452,-0.4085,hit_target,1
MSFT,Tech,breakout,2024,9.1000,4.7000,2.0000,2.4000,2.9000,75.8300,33.4400,4.9900,19.2600,1.1200,2.7800,0.8000,3,13.1400,4.0680,-1.7707,expired,0
MSFT,Tech,breakout,2024,9.4600,4.4600,2.5500,2.4500,2.0100,65.0400,22.8800,1.0900,18.8400,1.0000,1.9700,0.6800,2,12.9200,0.6232,-1.7402,hit_stop,0
MSFT,Tech,breakout,2024,7.8800,4.4300,1.0500,2.4000,2.6900,72.8100,18.0900,3.3700,15.8400,1.1200,2.6600,0.6700,3,12.7500,4.9406,-1.1270,expired,0
MSFT,Tech,breakout,2024,8.6200,4.3700,2.0000,2.2500,3.7300,69.5300,24.4400,6.2800,16.3700,0.9800,2.1500,0.6400,2,12.2200,2.2174,-4.1489,hit_stop,0
MSFT,Tech,breakout,2024,9.2700,3.0700,2.6000,3.6000,1.5000,56.5800,19.8900,0.0800,4.6800,1.0900,1.0600,0.5400,3,17.6900,3.7621,-2.7100,expired,0
MSFT,Tech,breakout,2024,7.6500,4.6500,2.0000,1.0000,2.6500,69.6500,26.5000,4.7500,8.7100,0.9600,2.0900,0.7700,0,13.9200,1.7931,-2.2917,hit_stop,0
MSFT,Tech,breakout,2025,6.5100,2.7600,0.6500,3.6000,1.2500,69.2700,18.3100,12.3900,5.1200,2.0100,2.8000,0.6800,3,24.6000,6.5204,-0.4066,expired,0
MSFT,Tech,breakout,2025,6.2500,3.7500,2.0000,1.0000,3.5200,71.7600,24.2300,9.2100,7.8800,0.9700,2.6300,0.7000,0,22.4800,3.9084,-1.3814,expired,0
MSFT,Tech,breakout,2025,8.3600,4.5100,2.0000,1.8500,2.2500,69.9400,38.1700,2.8800,11.6900,1.6600,1.8900,0.7000,1,18.5700,6.5833,-0.1322,hit_target,1
MSFT,Tech,breakout,2025,7.1400,4.6400,2.0000,0.5000,2.3600,73.5200,46.2500,4.0400,14.4800,0.9900,2.1300,0.7700,0,20.1400,5.9744,-1.1919,hit_target,1
MSFT,Tech,breakout,2025,12.1900,5.1400,2.5500,3.7000,1.6500,65.0400,18.8200,2.3000,13.2800,1.0500,1.8300,0.7200,4,16.3700,0.7013,-2.6085,hit_stop,0
NVDA,Tech,breakout,2025,7.2600,3.7600,1.0500,2.4500,3.7300,72.5500,19.7500,16.7100,14.3100,1.0100,3.1100,0.7100,2,17.8300,9.5249,-2.4397,expired,0
NVDA,Tech,breakout,2025,9.0200,4.6900,1.4300,2.9000,1.4900,73.8800,40.1600,10.8800,25.1200,1.2900,3.0400,0.8000,3,16.7600,7.5942,-2.9159,hit_target,1
NVDA,Tech,breakout,2025,8.2400,4.6500,1.1900,2.4000,2.6500,73.4500,45.5000,9.8300,28.9500,1.0100,2.9100,0.7700,3,15.9400,9.5651,-1.0384,hit_target,1
NVDA,Tech,pullback,2025,8.2600,3.0400,3.5200,1.7000,1.1500,57.5300,18.5200,2.9200,25.3100,1.0500,0.8700,0.5200,2,17.6000,0.1431,-11.6442,hit_stop,0
NVDA,Tech,breakout,2026,7.2300,4.3300,0.6500,2.2500,2.3700,68.0700,18.7100,3.1700,12.6100,0.9700,2.7300,0.6100,2,18.3600,9.8263,-0.8205,hit_target,1
NVDA,Tech,breakout,2026,9.3700,4.4700,2.0000,2.9000,3.6300,71.5000,23.6100,10.9500,17.9500,1.4200,2.8400,0.6800,3,18.7100,2.5013,-5.1506,hit_stop,0
AMZN,Tech,breakout,2023,9.3800,3.7300,2.5500,3.1000,2.1400,63.4100,21.7200,11.4600,6.8800,1.1400,1.7900,0.6900,3,16.9400,8.3274,-2.5945,hit_target,1
AMZN,Tech,breakout,2023,9.5400,4.6400,2.0000,2.9000,2.3800,71.9800,29.9300,12.0300,13.9300,1.0100,3.0200,0.7700,3,16.0500,9.1034,-2.5606,expired,0
AMZN,Tech,breakout,2023,9.4600,4.5600,2.0000,2.9000,2.7200,68.5700,33.2400,12.9200,15.0100,1.4900,2.4300,0.7300,3,17.9500,5.7308,-1.8773,expired,0
AMZN,Tech,breakout,2023,8.0000,4.4500,1.5500,2.0000,2.1500,68.4600,32.8900,7.3800,20.9000,1.4100,2.0400,0.6700,2,12.9100,5.6599,-2.6367,expired,0
AMZN,Tech,breakout,2023,9.1700,4.4300,1.5400,3.2000,1.3000,66.4700,27.8500,2.7000,21.5300,1.1200,1.9800,0.6700,2,13.6100,1.0627,-3.8867,hit_stop,0
AMZN,Tech,breakout,2023,10.8900,4.4300,2.0600,3.6000,1.2500,65.4600,19.8300,5.6600,22.8400,2.4600,2.1300,0.6600,4,17.1000,0.4694,-6.7345,hit_stop,0
AMZN,Tech,breakout,2023,8.7700,4.3700,2.5500,1.8500,3.2400,65.2200,22.2000,4.9800,17.5800,1.0700,1.7500,0.6400,1,12.6900,4.9171,-3.4089,expired,0
