trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
1,2026-08-05 14:51:57.792398+00:00,AAPL,hit_stop,-1.0,-100.0,9900.0,10000.0,-1.0,True
2,2026-08-05 14:51:57.833286+00:00,AAPL,hit_target,1.165,115.35,10015.35,10015.35,0.0,False
3,2026-08-05 14:51:57.834487+00:00,AAPL,expired,0.205,20.52,10035.87,10035.87,0.0,False
4,2026-08-05 14:51:57.846740+00:00,AAPL,hit_stop,-1.0,-100.36,9935.51,10035.87,-1.0,True
5,2026-08-05 14:51:58.633383+00:00,MSFT,hit_stop,-1.0,-99.36,9836.15,10035.87,-1.99,True
6,2026-08-05 14:51:58.706190+00:00,MSFT,expired,0.449,44.21,9880.36,10035.87,-1.55,True
7,2026-08-05 14:51:58.760830+00:00,MSFT,hit_stop,-1.0,-98.8,9781.56,10035.87,-2.53,True
8,2026-08-05 14:52:00.371610+00:00,AMZN,expired,1.992,194.9,9976.46,10035.87,-0.59,True
9,2026-08-05 14:52:00.426485+00:00,AMZN,expired,0.043,4.29,9980.75,10035.87,-0.55,True
10,2026-08-05 14:52:01.118098+00:00,GOOGL,hit_target,1.762,175.85,10156.6,10156.6,0.0,False
11,2026-08-05 14:52:01.187509+00:00,GOOGL,expired,1.267,128.65,10285.25,10285.25,0.0,False
12,2026-08-05 14:52:01.970360+00:00,META,expired,-0.41,-42.21,10243.04,10285.25,-0.41,True
13,2026-08-05 14:52:01.995275+00:00,META,expired,-0.127,-12.97,10230.07,10285.25,-0.54,True
14,2026-08-05 14:52:02.766732+00:00,AVGO,hit_stop,-1.0,-102.3,10127.77,10285.25,-1.53,True
15,2026-08-05 14:52:03.595134+00:00,AMD,hit_target,0.859,87.03,10214.8,10285.25,-0.68,True
16,2026-08-05 14:52:03.688428+00:00,AMD,hit_stop,-1.0,-102.15,10112.65,10285.25,-1.68,True
17,2026-08-05 14:52:03.692321+00:00,AMD,hit_target,1.252,126.61,10239.26,10285.25,-0.45,True
18,2026-08-05 14:52:04.442044+00:00,CRM,hit_stop,-1.0,-102.39,10136.87,10285.25,-1.44,True
19,2026-08-05 14:52:04.460179+00:00,CRM,hit_target,2.463,249.72,10386.59,10386.59,0.0,False
20,2026-08-05 14:52:04.460753+00:00,CRM,expired,0.8,83.05,10469.64,10469.64,0.0,False
21,2026-08-05 14:52:04.465392+00:00,CRM,hit_target,1.874,196.17,10665.81,10665.81,0.0,False
22,2026-08-05 14:52:04.500623+00:00,CRM,hit_target,0.834,88.98,10754.79,10754.79,0.0,False
23,2026-08-05 14:52:04.555071+00:00,CRM,expired,0.476,51.21,10806.0,10806.0,0.0,False
24,2026-08-05 14:52:05.269801+00:00,NOW,hit_target,0.933,100.8,10906.8,10906.8,0.0,False
25,2026-08-05 14:52:05.303791+00:00,NOW,hit_stop,-1.0,-109.07,10797.73,10906.8,-1.0,True
26,2026-08-05 14:52:05.308340+00:00,NOW,hit_target,1.666,179.93,10977.67,10977.67,0.0,False
27,2026-08-05 14:52:05.325353+00:00,NOW,hit_stop,-1.0,-109.78,10867.89,10977.67,-1.0,True
28,2026-08-05 14:52:06.148666+00:00,ORCL,hit_target,5.988,650.77,11518.66,11518.66,0.0,False
29,2026-08-05 14:52:06.198964+00:00,ORCL,hit_target,1.757,202.37,11721.04,11721.04,0.0,False
30,2026-08-05 14:52:06.974110+00:00,ANET,hit_stop,-1.0,-117.21,11603.83,11721.04,-1.0,True
31,2026-08-05 14:52:06.982874+00:00,ANET,expired,0.422,48.94,11652.76,11721.04,-0.58,True
32,2026-08-05 14:52:07.106859+00:00,ANET,hit_target,1.092,127.27,11780.04,11780.04,0.0,False
33,2026-08-05 14:52:07.808642+00:00,PANW,hit_stop,-1.0,-117.8,11662.24,11780.04,-1.0,True
34,2026-08-05 14:52:08.620015+00:00,CRWD,hit_stop,-1.0,-116.62,11545.62,11780.04,-1.99,True
35,2026-08-05 14:52:09.485838+00:00,FTNT,hit_stop,-1.0,-115.46,11430.16,11780.04,-2.97,True
36,2026-08-05 14:52:10.997139+00:00,OKTA,expired,-0.089,-10.16,11420.0,11780.04,-3.06,True
37,2026-08-05 14:52:11.053650+00:00,OKTA,expired,0.198,22.56,11442.56,11780.04,-2.86,True
38,2026-08-05 14:52:11.066063+00:00,OKTA,hit_target,1.392,159.32,11601.88,11780.04,-1.51,True
39,2026-08-05 14:52:12.035430+00:00,JPM,expired,-0.379,-43.92,11557.95,11780.04,-1.89,True
40,2026-08-05 14:52:12.049004+00:00,JPM,expired,1.057,122.21,11680.17,11780.04,-0.85,True
41,2026-08-05 14:52:12.082744+00:00,JPM,hit_stop,-1.0,-116.8,11563.37,11780.04,-1.84,True
42,2026-08-05 14:52:12.848991+00:00,V,expired,1.083,125.17,11688.54,11780.04,-0.78,True
43,2026-08-05 14:52:12.865014+00:00,V,hit_stop,-1.0,-116.89,11571.65,11780.04,-1.77,True
44,2026-08-05 14:52:12.897119+00:00,V,hit_target,2.855,330.38,11902.03,11902.03,0.0,False
45,2026-08-05 14:52:12.900413+00:00,V,expired,-0.227,-27.04,11874.99,11902.03,-0.23,True
46,2026-08-05 14:52:12.912620+00:00,V,hit_stop,-1.0,-118.75,11756.24,11902.03,-1.22,True
