run,final_capital,total_return_pct,max_drawdown_pct,max_consec_losses
0,21932.62,119.33,-10.76,8
1,35755.7,257.56,-16.63,9
2,27167.01,171.67,-16.77,11
3,43863.3,338.63,-9.44,5
4,28428.74,184.29,-16.57,7
5,28218.66,182.19,-9.63,6
6,39996.89,299.97,-7.61,5
7,32346.62,223.47,-9.6,7
8,59189.55,491.9,-9.91,7
9,48507.09,385.07,-12.0,5
10,26181.76,161.82,-9.46,10
11,33373.32,233.73,-9.57,9
12,37692.73,276.93,-10.09,7
13,21599.85,116.0,-16.48,8
14,42847.86,328.48,-10.98,11
15,28952.61,189.53,-15.58,8
16,42942.29,329.42,-10.02,7
17,27324.31,173.24,-10.23,6
18,62604.88,526.05,-7.65,7
19,31188.07,211.88,-15.72,9
20,27598.11,175.98,-11.24,9
21,36666.21,266.66,-8.9,6
22,31678.03,216.78,-10.44,6
23,52414.95,424.15,-9.81,8
24,44465.49,344.65,-10.53,7
25,33525.32,235.25,-9.4,6
26,39073.34,290.73,-9.5,9
27,42971.15,329.71,-8.46,6
28,39163.69,291.64,-10.08,9
29,35809.54,258.1,-10.24,7
30,60579.74,505.8,-8.79,6
31,53854.52,438.55,-7.78,6
32,61707.69,517.08,-7.7,6
33,49104.68,391.05,-6.44,7
34,33147.31,231.47,-11.46,6
35,44685.21,346.85,-9.36,6
36,35748.65,257.49,-12.37,10
37,50196.81,401.97,-8.17,5
38,53947.83,439.48,-7.96,8
39,35176.01,251.76,-9.21,7
40,41606.99,316.07,-8.39,7
41,30704.58,207.05,-8.36,8
42,28751.49,187.51,-15.15,8
43,33065.81,230.66,-8.03,7
44,33824.42,238.24,-12.17,12
45,21289.21,112.89,-14.37,8
46,33937.0,239.37,-9.79,8
47,36447.59,264.48,-7.09,7
48,40160.5,301.6,-10.22,8
49,48811.35,388.11,-7.35,7
50,35910.48,259.1,-11.88,8
51,27020.62,170.21,-12.94,12
52,28363.17,183.63,-11.95,6
53,30070.25,200.7,-12.92,6
54,46898.42,368.98,-10.1,7
55,38927.08,289.27,-6.76,6
56,30237.64,202.38,-12.55,5
57,36356.63,263.57,-8.49,7
58,44594.7,345.95,-17.35,8
59,42383.11,323.83,-17.05,6
60,35102.2,251.02,-11.46,7
61,24694.41,146.94,-11.78,9
62,35543.82,255.44,-13.83,7
63,22309.26,123.09,-12.47,13
64,38569.5,285.7,-7.43,7
65,50265.19,402.65,-8.04,8
66,41783.99,317.84,-17.31,8
67,47159.43,371.59,-8.91,7
68,39138.37,291.38,-11.62,8
69,43430.69,334.31,-8.57,7
70,30796.99,207.97,-18.53,6
71,35290.05,252.9,-13.07,5
72,48029.85,380.3,-7.73,8
73,21574.21,115.74,-12.71,10
74,33258.45,232.58,-9.81,8
75,22407.66,124.08,-10.99,9
76,36386.53,263.87,-11.7,9
77,43061.91,330.62,-14.55,9
78,25019.51,150.2,-17.31,10
79,53654.9,436.55,-7.99,10
80,36593.88,265.94,-16.92,10
81,37325.12,273.25,-10.59,8
82,26610.63,166.11,-14.41,8
83,55416.7,454.17,-9.77,7
84,52488.1,424.88,-7.13,8
85,30590.77,205.91,-13.12,7
86,35776.67,257.77,-14.05,9
87,51342.42,413.42,-7.07,6
88,29842.29,198.42,-11.43,6
89,33487.82,234.88,-9.21,8
90,49668.93,396.69,-10.19,9
91,36821.79,268.22,-8.73,9
92,34688.9,246.89,-10.45,6
93,28708.48,187.08,-15.8,10
94,33740.71,237.41,-12.69,7
95,35922.53,259.23,-9.69,7
96,38576.61,285.77,-9.88,8
97,35513.9,255.14,-7.29,8
98,36405.86,264.06,-8.11,8
99,29108.21,191.08,-12.18,8
100,67279.55,572.8,-7.73,5
101,28015.97,180.16,-11.29,8
102,26127.87,161.28,-18.14,11
103,65295.84,552.96,-8.71,6
104,41900.74,319.01,-10.02,7
105,40647.99,306.48,-8.36,9
106,29575.76,195.76,-12.21,11
107,26120.31,161.2,-14.97,11
108,32582.85,225.83,-14.14,7
109,24244.49,142.44,-11.1,6
110,37068.26,270.68,-12.62,9
111,33668.49,236.68,-10.16,9
112,33379.83,233.8,-9.85,6
113,38771.12,287.71,-9.98,11
114,33653.8,236.54,-10.91,7
115,48889.5,388.9,-6.71,7
116,35451.34,254.51,-8.15,8
117,52023.52,420.24,-9.66,8
118,25117.37,151.17,-14.89,11
119,34571.19,245.71,-10.22,12
120,37755.76,277.56,-8.01,6
121,38323.14,283.23,-9.08,6
122,61577.59,515.78,-10.72,7
123,55566.33,455.66,-13.04,11
124,55762.84,457.63,-10.55,7
125,28097.1,180.97,-10.03,7
126,40032.67,300.33,-8.97,8
127,53478.87,434.79,-10.01,7
128,44567.2,345.67,-12.33,6
129,30991.39,209.91,-9.82,8
