trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
1,2026-05-08 02:54:07.852745+00:00,AAPL,expired,0.855,85.53,10085.53,10085.53,0.0,False
2,2026-05-08 02:54:07.855682+00:00,AAPL,expired,1.65,166.38,10251.91,10251.91,0.0,False
3,2026-05-08 02:54:07.858014+00:00,AAPL,expired,0.616,63.2,10315.11,10315.11,0.0,False
4,2026-05-08 02:54:07.862485+00:00,AAPL,hit_stop,-1.0,-103.15,10211.96,10315.11,-1.0,True
5,2026-05-08 02:54:07.884363+00:00,AAPL,expired,1.537,156.96,10368.91,10368.91,0.0,False
6,2026-05-08 02:54:07.885163+00:00,AAPL,expired,1.011,104.87,10473.78,10473.78,0.0,False
7,2026-05-08 02:54:07.889339+00:00,AAPL,hit_stop,-1.0,-104.74,10369.05,10473.78,-1.0,True
8,2026-05-08 02:54:07.917467+00:00,AAPL,expired,1.41,146.21,10515.25,10515.25,0.0,False
9,2026-05-08 02:54:07.919669+00:00,AAPL,hit_target,3.54,372.24,10887.49,10887.49,0.0,False
10,2026-05-08 02:54:07.920124+00:00,AAPL,hit_stop,-1.0,-108.87,10778.62,10887.49,-1.0,True
11,2026-05-08 02:54:07.951962+00:00,AAPL,hit_target,3.0,323.36,11101.98,11101.98,0.0,False
12,2026-05-08 02:54:07.954510+00:00,AAPL,hit_stop,-1.0,-111.02,10990.96,11101.98,-1.0,True
13,2026-05-08 02:54:07.995604+00:00,AAPL,hit_target,1.44,158.27,11149.23,11149.23,0.0,False
14,2026-05-08 02:54:08.006347+00:00,AAPL,expired,-0.138,-15.42,11133.8,11149.23,-0.14,True
15,2026-05-08 02:54:08.010224+00:00,AAPL,hit_stop,-1.0,-111.34,11022.47,11149.23,-1.14,True
16,2026-05-08 02:54:08.020976+00:00,AAPL,hit_stop,-1.0,-110.22,10912.24,11149.23,-2.13,True
17,2026-05-08 02:54:08.872973+00:00,MSFT,expired,2.236,243.99,11156.23,11156.23,0.0,False
18,2026-05-08 02:54:08.877585+00:00,MSFT,hit_stop,-1.0,-111.56,11044.67,11156.23,-1.0,True
19,2026-05-08 02:54:08.881255+00:00,MSFT,hit_stop,-1.0,-110.45,10934.23,11156.23,-1.99,True
20,2026-05-08 02:54:08.900386+00:00,MSFT,expired,1.769,193.38,11127.6,11156.23,-0.26,True
21,2026-05-08 02:54:08.901189+00:00,MSFT,expired,-0.073,-8.16,11119.44,11156.23,-0.33,True
22,2026-05-08 02:54:08.911371+00:00,MSFT,hit_target,2.23,247.96,11367.41,11367.41,0.0,False
23,2026-05-08 02:54:08.912430+00:00,MSFT,expired,0.869,98.82,11466.23,11466.23,0.0,False
24,2026-05-08 02:54:08.920112+00:00,MSFT,hit_stop,-1.0,-114.66,11351.57,11466.23,-1.0,True
25,2026-05-08 02:54:08.920692+00:00,MSFT,hit_stop,-1.0,-113.52,11238.05,11466.23,-1.99,True
26,2026-05-08 02:54:08.934487+00:00,MSFT,expired,1.652,185.65,11423.71,11466.23,-0.37,True
27,2026-05-08 02:54:08.937142+00:00,MSFT,hit_stop,-1.0,-114.24,11309.47,11466.23,-1.37,True
28,2026-05-08 02:54:08.948728+00:00,MSFT,expired,-0.456,-51.55,11257.92,11466.23,-1.82,True
29,2026-05-08 02:54:08.956082+00:00,MSFT,hit_stop,-1.0,-112.58,11145.34,11466.23,-2.8,True
30,2026-05-08 02:54:08.963777+00:00,MSFT,hit_stop,-1.0,-111.45,11033.88,11466.23,-3.77,True
31,2026-05-08 02:54:08.988640+00:00,MSFT,expired,0.921,101.66,11135.54,11466.23,-2.88,True
32,2026-05-08 02:54:08.989435+00:00,MSFT,expired,1.25,139.17,11274.71,11466.23,-1.67,True
33,2026-05-08 02:54:08.993066+00:00,MSFT,expired,2.002,225.73,11500.44,11500.44,0.0,False
34,2026-05-08 02:54:08.996065+00:00,MSFT,hit_target,2.36,271.41,11771.85,11771.85,0.0,False
35,2026-05-08 02:54:09.016134+00:00,MSFT,hit_stop,-1.0,-117.72,11654.13,11771.85,-1.0,True
36,2026-05-08 02:54:09.019686+00:00,MSFT,hit_stop,-1.0,-116.54,11537.59,11771.85,-1.99,True
37,2026-05-08 02:54:09.979745+00:00,NVDA,expired,0.848,97.83,11635.42,11771.85,-1.16,True
38,2026-05-08 02:54:09.981943+00:00,NVDA,expired,0.633,73.7,11709.12,11771.85,-0.53,True
39,2026-05-08 02:54:09.987409+00:00,NVDA,hit_target,2.65,310.29,12019.41,12019.41,0.0,False
40,2026-05-08 02:54:10.038974+00:00,NVDA,hit_target,2.37,284.86,12304.27,12304.27,0.0,False
41,2026-05-08 02:54:10.040344+00:00,NVDA,hit_stop,-1.0,-123.04,12181.23,12304.27,-1.0,True
42,2026-05-08 02:54:10.770554+00:00,AMZN,hit_target,2.14,260.68,12441.9,12441.9,0.0,False
43,2026-05-08 02:54:10.771667+00:00,AMZN,expired,1.14,141.89,12583.79,12583.79,0.0,False
44,2026-05-08 02:54:10.778292+00:00,AMZN,hit_stop,-1.0,-125.84,12457.95,12583.79,-1.0,True
45,2026-05-08 02:54:10.781880+00:00,AMZN,hit_stop,-1.0,-124.58,12333.37,12583.79,-1.99,True
46,2026-05-08 02:54:10.800274+00:00,AMZN,hit_stop,-1.0,-123.33,12210.04,12583.79,-2.97,True
47,2026-05-08 02:54:10.804804+00:00,AMZN,hit_stop,-1.0,-122.1,12087.94,12583.79,-3.94,True
48,2026-05-08 02:54:10.808409+00:00,AMZN,hit_stop,-1.0,-120.88,11967.06,12583.79,-4.9,True
49,2026-05-08 02:54:10.810136+00:00,AMZN,hit_target,2.42,289.6,12256.66,12583.79,-2.6,True
50,2026-05-08 02:54:10.819559+00:00,AMZN,hit_stop,-1.0,-122.57,12134.1,12583.79,-3.57,True
51,2026-05-08 02:54:10.832982+00:00,AMZN,hit_stop,-1.0,-121.34,12012.75,12583.79,-4.54,True
52,2026-05-08 02:54:10.848122+00:00,AMZN,hit_stop,-1.0,-120.13,11892.63,12583.79,-5.49,True
53,2026-05-08 02:54:10.857634+00:00,AMZN,hit_stop,-1.0,-118.93,11773.7,12583.79,-6.44,True
54,2026-05-08 02:54:10.859675+00:00,AMZN,expired,0.42,49.44,11823.14,12583.79,-6.04,True
55,2026-05-08 02:54:10.860765+00:00,AMZN,hit_stop,-1.0,-118.23,11704.91,12583.79,-6.98,True
56,2026-05-08 02:54:10.887007+00:00,AMZN,hit_stop,-1.0,-117.05,11587.86,12583.79,-7.91,True
57,2026-05-08 02:54:10.895661+00:00,AMZN,hit_stop,-1.0,-115.88,11471.98,12583.79,-8.84,True
58,2026-05-08 02:54:10.897384+00:00,AMZN,hit_stop,-1.0,-114.72,11357.26,12583.79,-9.75,True
59,2026-05-08 02:54:10.915442+00:00,AMZN,hit_stop,-1.0,-113.57,11243.69,12583.79,-10.65,True
60,2026-05-08 02:54:11.677990+00:00,GOOGL,hit_target,1.32,148.42,11392.11,12583.79,-9.47,True
61,2026-05-08 02:54:11.692537+00:00,GOOGL,hit_stop,-1.0,-113.92,11278.19,12583.79,-10.38,True
62,2026-05-08 02:54:11.697482+00:00,GOOGL,hit_stop,-1.0,-112.78,11165.41,12583.79,-11.27,True
63,2026-05-08 02:54:11.703092+00:00,GOOGL,hit_stop,-1.0,-111.65,11053.75,12583.79,-12.16,True
64,2026-05-08 02:54:11.720107+00:00,GOOGL,hit_stop,-1.0,-110.54,10943.21,12583.79,-13.04,True
65,2026-05-08 02:54:11.730124+00:00,GOOGL,hit_target,1.92,210.11,11153.32,12583.79,-11.37,True
66,2026-05-08 02:54:11.761639+00:00,GOOGL,hit_stop,-1.0,-111.53,11041.79,12583.79,-12.25,True
67,2026-05-08 02:54:11.766606+00:00,GOOGL,hit_stop,-1.0,-110.42,10931.37,12583.79,-13.13,True
68,2026-05-08 02:54:11.772811+00:00,GOOGL,hit_target,1.39,151.95,11083.32,12583.79,-11.92,True
69,2026-05-08 02:54:11.778293+00:00,GOOGL,hit_stop,-1.0,-110.83,10972.49,12583.79,-12.8,True
70,2026-05-08 02:54:11.802326+00:00,GOOGL,hit_stop,-1.0,-109.72,10862.76,12583.79,-13.68,True
71,2026-05-08 02:54:11.808671+00:00,GOOGL,expired,1.723,187.18,11049.94,12583.79,-12.19,True
72,2026-05-08 02:54:11.811369+00:00,GOOGL,expired,1.789,197.7,11247.64,12583.79,-10.62,True
73,2026-05-08 02:54:11.813639+00:00,GOOGL,hit_target,2.58,290.19,11537.83,12583.79,-8.31,True
74,2026-05-08 02:54:11.854708+00:00,GOOGL,hit_target,2.11,243.45,11781.28,12583.79,-6.38,True
75,2026-05-08 02:54:11.857353+00:00,GOOGL,hit_target,4.44,523.09,12304.37,12583.79,-2.22,True
76,2026-05-08 02:54:12.638481+00:00,META,hit_target,2.58,317.45,12621.82,12621.82,0.0,False
77,2026-05-08 02:54:12.639115+00:00,META,hit_target,2.46,310.5,12932.32,12932.32,0.0,False
78,2026-05-08 02:54:12.686879+00:00,META,expired,1.225,158.36,13090.68,13090.68,0.0,False
79,2026-05-08 02:54:12.687958+00:00,META,expired,0.278,36.37,13127.05,13127.05,0.0,False
80,2026-05-08 02:54:12.698352+00:00,META,hit_stop,-1.0,-131.27,12995.78,13127.05,-1.0,True
81,2026-05-08 02:54:12.702186+00:00,META,hit_stop,-1.0,-129.96,12865.83,13127.05,-1.99,True
82,2026-05-08 02:54:12.704346+00:00,META,expired,-0.115,-14.76,12851.06,13127.05,-2.1,True
83,2026-05-08 02:54:12.722470+00:00,META,expired,0.721,92.7,12943.76,13127.05,-1.4,True
84,2026-05-08 02:54:12.725049+00:00,META,expired,1.447,187.34,13131.1,13131.1,0.0,False
85,2026-05-08 02:54:12.727947+00:00,META,expired,-0.375,-49.19,13081.91,13131.1,-0.37,True
86,2026-05-08 02:54:12.733505+00:00,META,expired,-0.629,-82.25,12999.66,13131.1,-1.0,True
87,2026-05-08 02:54:12.734907+00:00,META,hit_stop,-1.0,-130.0,12869.66,13131.1,-1.99,True
88,2026-05-08 02:54:12.756037+00:00,META,hit_stop,-1.0,-128.7,12740.97,13131.1,-2.97,True
89,2026-05-08 02:54:12.764330+00:00,META,hit_target,2.04,259.92,13000.88,13131.1,-0.99,True
90,2026-05-08 02:54:12.778687+00:00,META,hit_stop,-1.0,-130.01,12870.87,13131.1,-1.98,True
91,2026-05-08 02:54:13.504499+00:00,TSLA,hit_stop,-1.0,-128.71,12742.17,13131.1,-2.96,True
92,2026-05-08 02:54:13.505141+00:00,TSLA,hit_target,2.54,323.65,13065.82,13131.1,-0.5,True
