run,final_capital,total_return_pct,max_drawdown_pct,max_consec_losses
0,28360.15,183.6,-9.69,11
1,28584.49,185.84,-7.84,6
2,29440.52,194.41,-13.92,11
3,29706.47,197.06,-6.89,5
4,18382.92,83.83,-13.18,6
5,20133.03,101.33,-13.98,8
6,19549.35,95.49,-15.36,7
7,26409.81,164.1,-8.23,7
8,16764.48,67.64,-6.58,6
9,28108.6,181.09,-7.41,5
10,23192.73,131.93,-11.87,5
11,29275.4,192.75,-9.26,8
12,22169.22,121.69,-10.18,6
13,14112.29,41.12,-11.81,7
14,25789.06,157.89,-6.79,7
15,29549.69,195.5,-7.09,6
16,29727.29,197.27,-5.62,5
17,25221.78,152.22,-5.48,6
18,27783.46,177.83,-9.15,10
19,24129.77,141.3,-9.01,8
20,21585.2,115.85,-8.68,6
21,27776.46,177.76,-6.07,6
22,28584.43,185.84,-6.28,6
23,33341.96,233.42,-7.16,7
24,20097.4,100.97,-13.22,13
25,19770.01,97.7,-8.65,9
26,32707.95,227.08,-6.64,6
27,29942.93,199.43,-6.41,6
28,29171.56,191.72,-7.41,6
29,24211.33,142.11,-7.56,8
30,19065.51,90.66,-8.42,7
31,16358.6,63.59,-11.98,7
32,20635.97,106.36,-8.18,7
33,21811.02,118.11,-7.42,6
34,19927.84,99.28,-10.92,7
35,24182.63,141.83,-9.46,7
36,25260.13,152.6,-7.73,8
37,25941.26,159.41,-14.59,13
38,26392.03,163.92,-8.14,7
39,16955.49,69.55,-11.12,8
40,26611.42,166.11,-12.41,8
41,20827.29,108.27,-8.43,8
42,19159.08,91.59,-10.54,7
43,14772.07,47.72,-10.64,9
44,24424.86,144.25,-7.38,7
45,22709.98,127.1,-8.92,7
46,26404.88,164.05,-6.24,6
47,22646.4,126.46,-8.42,5
48,17664.46,76.64,-8.39,8
49,15597.74,55.98,-10.28,5
50,21263.41,112.63,-5.59,5
51,25515.69,155.16,-10.46,6
52,23551.92,135.52,-6.88,7
53,29875.57,198.76,-7.12,7
54,21450.55,114.51,-11.24,5
55,23601.26,136.01,-7.14,8
56,24219.92,142.2,-5.03,6
57,12766.73,27.67,-18.81,11
58,22213.72,122.14,-11.89,7
59,17826.93,78.27,-13.23,9
60,25736.29,157.36,-9.22,5
61,21456.91,114.57,-7.43,6
62,27559.43,175.59,-9.18,10
63,26957.78,169.58,-5.6,4
64,28138.85,181.39,-10.4,9
65,25942.78,159.43,-7.67,7
66,27106.88,171.07,-11.59,7
67,20701.95,107.02,-6.31,6
68,14597.09,45.97,-19.08,8
69,20652.52,106.53,-10.31,10
70,29512.26,195.12,-8.91,10
71,25168.51,151.69,-4.9,5
72,30888.78,208.89,-4.58,6
73,29115.63,191.16,-7.73,8
74,23954.61,139.55,-12.84,11
75,24880.91,148.81,-10.29,8
76,29100.21,191.0,-7.0,6
77,21555.13,115.55,-7.66,7
78,14779.96,47.8,-15.32,8
79,23153.78,131.54,-8.4,8
80,30225.47,202.25,-7.73,8
81,20363.03,103.63,-10.54,7
82,21121.11,111.21,-6.29,6
83,24427.18,144.27,-10.13,6
84,23157.35,131.57,-6.1,4
85,36390.02,263.9,-5.28,4
86,27435.48,174.35,-7.65,7
87,20554.02,105.54,-5.85,6
88,31165.69,211.66,-13.39,8
89,25433.34,154.33,-8.67,7
90,20304.95,103.05,-9.71,11
91,21849.9,118.5,-7.17,5
92,27140.33,171.4,-6.84,6
93,30578.52,205.79,-7.51,6
94,25051.32,150.51,-8.72,10
95,22066.98,120.67,-9.37,6
96,22645.58,126.46,-7.03,5
97,23459.17,134.59,-6.79,6
98,15892.41,58.92,-9.48,8
99,23029.26,130.29,-12.24,7
100,30031.12,200.31,-5.89,6
101,16243.84,62.44,-10.72,11
102,24372.05,143.72,-5.56,6
103,24460.9,144.61,-8.02,7
104,28664.85,186.65,-17.63,9
105,29829.92,198.3,-12.55,9
106,21761.6,117.62,-8.1,9
107,23733.58,137.34,-11.27,6
108,22439.8,124.4,-5.99,5
109,23797.15,137.97,-9.46,6
110,17873.76,78.74,-12.21,6
111,20869.65,108.7,-10.53,8
112,29927.27,199.27,-10.79,7
113,21509.03,115.09,-8.99,7
114,28234.49,182.34,-5.85,6
115,16928.29,69.28,-9.53,7
116,26539.93,165.4,-10.43,9
117,24176.69,141.77,-11.81,11
118,31237.51,212.38,-9.32,6
119,16907.96,69.08,-12.09,10
120,24614.91,146.15,-5.86,5
121,21089.68,110.9,-7.39,6
122,26689.57,166.9,-10.05,6
123,20010.44,100.1,-14.24,8
124,15451.02,54.51,-15.27,10
125,26876.52,168.77,-8.86,8
126,18443.96,84.44,-10.55,8
127,23516.3,135.16,-7.87,6
128,40055.74,300.56,-5.33,6
129,20967.96,109.68,-8.7,5
130,31931.91,219.32,-8.15,7
131,22207.58,122.08,-12.51,10
132,29383.82,193.84,-5.63,5
133,44066.68,340.67,-8.26,9
134,28953.77,189.54,-11.81,7
135,28123.02,181.23,-9.24,4
136,23990.98,139.91,-7.83,9
137,34843.41,248.43,-7.4,6
138,22505.37,125.05,-12.14,9
139,28408.21,184.08,-5.61,7
140,21146.73,111.47,-6.69,5
141,18505.5,85.06,-11.8,10
142,19042.35,90.42,-8.61,7
143,16941.6,69.42,-6.24,6
144,20383.81,103.84,-7.41,7
145,23818.02,138.18,-9.02,5
146,24446.47,144.46,-8.77,6
147,20222.41,102.22,-15.03,7
148,35339.63,253.4,-4.9,5
149,19932.06,99.32,-10.18,7
150,19397.72,93.98,-13.75,8
151,21827.89,118.28,-8.65,9
152,21243.49,112.43,-6.21,5
153,15618.97,56.19,-7.59,6
154,25401.72,154.02,-11.41,8
155,27576.56,175.77,-5.34,5
156,31897.64,218.98,-9.81,6
157,24089.66,140.9,-10.11,6
158,16495.07,64.95,-8.98,8
159,16957.88,69.58,-9.99,8
160,20750.89,107.51,-6.94,5
161,22414.62,124.15,-8.65,9
162,13394.61,33.95,-10.28,6
163,29814.24,198.14,-6.46,8
164,26531.49,165.31,-6.21,4
165,31804.69,218.05,-6.79,7
166,29307.44,193.07,-8.13,6
167,25143.76,151.44,-6.51,5
168,32071.3,220.71,-4.9,5
169,27906.32,179.06,-9.18,8
170,20372.04,103.72,-8.01,8
171,25923.42,159.23,-10.5,7
172,20831.8,108.32,-12.49,12
173,23421.01,134.21,-11.88,8
174,33741.37,237.41,-6.79,7
175,22890.49,128.9,-7.73,7
176,18809.54,88.1,-6.79,7
