trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
1,2026-05-08 02:54:08.895623+00:00,MSFT,hit_stop,-1.0,-100.0,9900.0,10000.0,-1.0,True
2,2026-05-08 02:54:10.900753+00:00,AMZN,hit_stop,-1.0,-99.0,9801.0,10000.0,-1.99,True
3,2026-05-08 02:54:12.691431+00:00,META,hit_stop,-1.0,-98.01,9702.99,10000.0,-2.97,True
4,2026-05-08 02:54:12.703544+00:00,META,hit_target,1.77,171.74,9874.73,10000.0,-1.25,True
5,2026-05-08 02:54:13.521020+00:00,TSLA,hit_stop,-1.0,-98.75,9775.99,10000.0,-2.24,True
6,2026-05-08 02:54:13.596507+00:00,TSLA,hit_stop,-1.0,-97.76,9678.23,10000.0,-3.22,True
7,2026-05-08 02:54:14.503362+00:00,BRK-B,hit_stop,-1.0,-96.78,9581.44,10000.0,-4.19,True
8,2026-05-08 02:54:15.388251+00:00,V,hit_stop,-1.0,-95.81,9485.63,10000.0,-5.14,True
9,2026-05-08 02:54:15.408245+00:00,V,hit_stop,-1.0,-94.86,9390.77,10000.0,-6.09,True
10,2026-05-08 02:54:16.467059+00:00,JPM,hit_stop,-1.0,-93.91,9296.87,10000.0,-7.03,True
11,2026-05-08 02:54:16.472048+00:00,JPM,expired,2.555,237.54,9534.41,10000.0,-4.66,True
12,2026-05-08 02:54:19.422993+00:00,AVGO,hit_stop,-1.0,-95.34,9439.06,10000.0,-5.61,True
13,2026-05-08 02:54:20.336566+00:00,HD,hit_stop,-1.0,-94.39,9344.67,10000.0,-6.55,True
14,2026-05-08 02:54:21.565764+00:00,PG,hit_target,1.65,154.19,9498.86,10000.0,-5.01,True
15,2026-05-08 02:54:22.507061+00:00,COST,hit_target,1.91,181.43,9680.29,10000.0,-3.2,True
