run,final_capital,total_return_pct,max_drawdown_pct,max_consec_losses
0,9766.48,-2.34,-6.79,7
1,8830.8,-11.69,-11.69,8
2,9403.87,-5.96,-7.14,7
3,9754.96,-2.45,-9.56,10
4,9668.87,-3.31,-7.25,7
5,9766.48,-2.34,-5.37,4
6,9403.87,-5.96,-6.79,7
7,9158.71,-8.41,-9.1,8
8,8909.43,-10.91,-12.25,13
9,9630.75,-3.69,-4.9,5
10,9090.37,-9.1,-9.1,7
11,9816.71,-1.83,-7.73,8
12,10053.56,0.54,-3.94,4
13,10243.64,2.44,-3.94,4
14,10373.74,3.74,-7.14,7
15,8909.43,-10.91,-10.91,10
16,8600.58,-13.99,-13.99,15
17,9416.81,-5.83,-7.25,6
18,9171.31,-8.29,-8.76,8
19,9113.62,-8.86,-10.57,7
20,9403.87,-5.96,-8.07,7
21,10611.49,6.11,-3.94,4
22,9619.4,-3.81,-5.85,6
23,10193.21,1.93,-5.85,6
24,9570.38,-4.3,-9.56,10
25,9888.55,-1.11,-3.94,4
26,9693.6,-3.06,-4.05,4
27,9705.05,-2.95,-4.3,3
28,9476.42,-5.24,-9.1,7
29,9357.58,-6.42,-6.42,6
30,9416.81,-5.83,-9.1,8
31,9090.37,-9.1,-10.8,10
32,9581.68,-4.18,-4.43,4
33,9863.32,-1.37,-4.3,3
34,9357.58,-6.42,-8.18,8
35,9309.89,-6.9,-9.56,10
36,9500.65,-4.99,-9.1,8
37,9849.77,-1.5,-6.2,6
38,9333.7,-6.66,-8.41,6
39,9939.41,-0.61,-5.85,6
40,9171.31,-8.29,-10.57,8
41,9342.9,-6.57,-8.88,7
42,10027.91,0.28,-4.9,5
43,9101.1,-8.99,-8.99,7
44,9680.29,-3.2,-3.94,4
45,10067.39,0.67,-5.85,6
46,9964.83,-0.35,-7.73,8
47,9741.56,-2.58,-4.9,5
48,10002.32,0.02,-4.41,4
49,9476.42,-5.24,-9.9,10
50,10004.06,0.04,-5.01,5
51,9440.89,-5.59,-5.85,6
52,9476.42,-5.24,-7.25,6
53,9357.58,-6.42,-8.99,6
54,9416.81,-5.83,-8.76,6
55,9925.75,-0.74,-6.79,7
56,9619.4,-3.81,-7.14,7
57,10027.91,0.28,-4.41,4
58,9158.71,-8.41,-9.56,10
59,9171.31,-8.29,-8.29,6
60,9680.29,-3.2,-6.79,7
61,9606.18,-3.94,-3.94,4
62,10027.91,0.28,-4.05,4
63,9381.51,-6.18,-8.65,9
64,9344.72,-6.55,-7.14,6
65,9414.97,-5.85,-8.18,6
66,9090.37,-9.1,-9.67,8
67,9077.89,-9.22,-10.69,7
68,9147.91,-8.52,-8.99,9
69,10091.38,0.91,-3.45,3
70,9779.92,-2.2,-5.13,5
71,9741.56,-2.58,-4.41,4
72,9902.15,-0.98,-6.9,7
73,9594.86,-4.05,-8.07,7
74,9691.72,-3.08,-4.52,4
75,9229.37,-7.71,-7.71,6
76,9644.21,-3.56,-6.31,5
77,9090.37,-9.1,-12.25,13
78,9403.87,-5.96,-7.96,8
79,9500.65,-4.99,-7.73,8
80,10219.5,2.2,-2.97,3
81,9718.4,-2.82,-4.05,4
82,9357.58,-6.42,-8.76,9
83,9630.75,-3.69,-6.09,5
84,10217.51,2.18,-4.3,3
85,9403.87,-5.96,-9.56,10
86,10308.49,3.08,-3.94,4
87,10014.13,0.14,-5.85,6
88,9816.71,-1.83,-3.33,3
89,9440.89,-5.59,-8.65,9
90,9331.88,-6.68,-7.73,8
91,9890.47,-1.1,-3.45,3
92,10425.02,4.25,-1.99,2
93,9077.89,-9.22,-9.22,6
94,9976.59,-0.23,-7.03,7
95,9416.81,-5.83,-10.47,11
96,9644.0,-3.56,-4.9,5
97,9101.1,-8.99,-10.47,11
98,9951.14,-0.49,-7.03,6
99,8600.58,-13.99,-13.99,15
100,10501.35,5.01,-1.99,2
101,9392.78,-6.07,-9.1,7
102,9666.99,-3.33,-5.26,5
103,9416.81,-5.83,-8.65,9
104,10153.24,1.53,-4.9,5
105,8841.23,-11.59,-11.59,8
106,9560.79,-4.39,-4.9,5
107,10027.91,0.28,-4.9,5
108,9851.69,-1.48,-5.01,5
109,9171.31,-8.29,-9.1,7
110,9331.88,-6.68,-6.68,5
111,10105.26,1.05,-3.94,4
112,9357.58,-6.42,-8.18,7
113,11200.39,12.0,-2.97,3
114,9392.78,-6.07,-7.49,7
115,9680.29,-3.2,-5.85,6
116,10231.57,2.32,-3.94,4
117,8853.39,-11.47,-11.47,10
118,9500.65,-4.99,-9.1,9
119,9606.18,-3.94,-6.2,5
120,9951.14,-0.49,-6.09,5
121,10153.24,1.53,-4.9,5
122,9368.62,-6.31,-7.14,6
123,8841.23,-11.59,-11.59,8
124,9101.1,-8.99,-10.47,11
125,9666.99,-3.33,-7.96,8
126,10282.19,2.82,-5.26,4
127,9344.72,-6.55,-8.18,8
128,9113.62,-8.86,-9.67,9
129,9863.32,-1.37,-4.3,4
130,9357.58,-6.42,-7.94,6
131,9392.78,-6.07,-6.07,6
132,9331.88,-6.68,-6.79,7
133,9090.37,-9.1,-9.1,9
134,9476.42,-5.24,-5.85,6
135,9718.4,-2.82,-5.01,5
136,9693.6,-3.06,-7.83,7
137,9730.08,-2.7,-5.26,5
138,9487.6,-5.12,-6.55,4
139,9680.29,-3.2,-6.31,5
140,10257.95,2.58,-6.2,6
141,9976.59,-0.23,-5.14,4
142,10402.3,4.02,-4.41,4
143,9171.31,-8.29,-8.29,6
144,10758.9,7.59,-1.99,2
145,9414.97,-5.85,-5.85,5
146,8841.23,-11.59,-11.59,11
147,9427.92,-5.72,-5.96,6
148,9890.47,-1.1,-4.9,5
149,9666.99,-3.33,-5.37,5
150,9705.05,-2.95,-3.2,3
151,10117.19,1.17,-6.09,6
152,10027.91,0.28,-3.94,4
153,9570.38,-4.3,-4.9,5
154,8841.23,-11.59,-11.59,10
155,8600.58,-13.99,-13.99,15
156,9414.97,-5.85,-6.33,5
157,9355.75,-6.44,-6.9,7
158,9693.6,-3.06,-3.94,4
159,10758.9,7.59,-3.22,3
160,9147.91,-8.52,-8.52,7
161,9088.6,-9.11,-9.11,9
162,9158.71,-8.41,-9.1,7
163,9333.7,-6.66,-8.18,5
164,9937.47,-0.63,-4.9,5
165,8841.23,-11.59,-11.59,11
166,10191.44,1.91,-3.94,4
167,9440.89,-5.59,-7.83,7
168,9594.86,-4.05,-4.3,4
169,9381.51,-6.18,-7.94,7
170,9427.92,-5.72,-6.79,7
171,9668.87,-3.31,-4.9,5
172,8853.39,-11.47,-11.47,8
173,9691.72,-3.08,-5.39,5
174,10519.89,5.2,-3.08,3
175,9693.6,-3.06,-6.79,7
176,10153.24,1.53,-4.9,5
177,9976.59,-0.23,-5.37,5
178,9333.7,-6.66,-6.79,7
179,9964.83,-0.35,-4.9,5
180,10296.33,2.96,-2.97,3
181,9229.37,-7.71,-8.18,8
182,9619.4,-3.81,-8.65,9
183,10153.24,1.53,-2.97,3
184,9976.59,-0.23,-4.19,4
185,9333.7,-6.66,-6.66,5
186,10310.49,3.1,-3.08,3
187,10041.7,0.42,-6.9,7
188,9357.58,-6.42,-6.42,4
189,9964.83,-0.35,-7.73,8
190,9476.42,-5.24,-5.24,4
191,10179.21,1.79,-3.94,4
192,9581.68,-4.18,-8.07,6
193,9101.1,-8.99,-8.99,7
194,9101.1,-8.99,-8.99,7
195,9741.56,-2.58,-6.31,6
196,9440.89,-5.59,-9.67,10
197,10243.64,2.44,-4.41,4
198,9754.96,-2.45,-4.88,3
199,8830.8,-11.69,-11.69,11
200,9754.96,-2.45,-9.56,10
201,9331.88,-6.68,-9.79,10
202,9171.31,-8.29,-10.57,9
203,9476.42,-5.24,-9.56,10
204,9753.06,-2.47,-4.19,4
205,9342.9,-6.57,-7.27,4
206,9741.56,-2.58,-8.65,9
207,9570.38,-4.3,-6.2,5
208,9668.87,-3.31,-6.55,6
209,8853.39,-11.47,-12.25,13
210,10296.33,2.96,-4.9,5
211,9368.62,-6.31,-7.01,6
212,9766.48,-2.34,-6.9,5
213,10812.13,8.12,-2.97,3
214,10269.85,2.7,-2.97,3
215,9680.29,-3.2,-5.85,6
216,9937.47,-0.63,-8.65,9
217,9171.31,-8.29,-11.36,12
218,10243.64,2.44,-3.94,4
219,9592.99,-4.07,-5.39,4
220,9874.96,-1.25,-4.3,3
221,9331.88,-6.68,-8.88,8
222,9331.88,-6.68,-6.68,5
223,9693.6,-3.06,-5.85,6
224,9705.05,-2.95,-8.65,9
225,9680.29,-3.2,-6.79,7
226,9964.83,-0.35,-5.85,6
227,9344.72,-6.55,-6.55,6
228,9874.96,-1.25,-4.9,5
229,9964.83,-0.35,-3.94,4
230,9090.37,-9.1,-10.47,11
231,9592.99,-4.07,-4.07,4
232,9951.14,-0.49,-3.94,4
233,9077.89,-9.22,-9.22,8
234,10231.57,2.32,-4.9,5
235,9101.1,-8.99,-10.57,7
236,9416.81,-5.83,-8.99,7
237,9414.97,-5.85,-8.88,8
238,10296.33,2.96,-1.99,2
239,9951.14,-0.49,-4.9,5
240,9816.71,-1.83,-4.3,4
241,9355.75,-6.44,-6.44,5
242,9953.08,-0.47,-6.9,5
243,9416.81,-5.83,-5.96,5
244,9368.62,-6.31,-7.96,5
245,9990.32,-0.1,-4.9,5
246,9606.18,-3.94,-10.47,11
247,10320.65,3.21,-5.85,6
248,9693.6,-3.06,-4.17,4
249,11129.94,11.3,-1.99,2
250,8853.39,-11.47,-11.47,12
251,9171.31,-8.29,-10.47,11
252,9888.55,-1.11,-4.17,3
253,9147.91,-8.52,-9.9,9
254,9403.87,-5.96,-8.99,6
255,10598.98,5.99,-2.97,3
256,9320.88,-6.79,-8.3,5
257,9753.06,-2.47,-8.88,6
258,9414.97,-5.85,-5.85,6
259,9570.38,-4.3,-5.85,6
260,10532.31,5.32,-2.97,3
261,8853.39,-11.47,-11.47,9
262,10468.14,4.68,-4.41,4
263,10334.85,3.35,-3.08,3
264,9606.18,-3.94,-7.03,6
265,9841.82,-1.58,-5.85,6
266,8909.43,-10.91,-10.91,8
267,10027.91,0.28,-5.85,6
268,9158.71,-8.41,-8.41,6
269,9158.71,-8.41,-9.79,10
270,8841.23,-11.59,-11.59,8
271,9368.62,-6.31,-7.83,8
272,9890.47,-1.1,-5.85,6
273,8853.39,-11.47,-11.47,8
274,10269.85,2.7,-5.01,4
275,10532.31,5.32,-5.85,6
276,9680.29,-3.2,-10.47,11
277,10181.24,1.81,-5.85,6
278,9158.71,-8.41,-9.1,7
279,9874.96,-1.25,-7.73,8
280,10761.04,7.61,-4.9,5
281,8853.39,-11.47,-13.13,14
282,9874.96,-1.25,-5.14,5
283,9090.37,-9.1,-9.1,7
284,9863.32,-1.37,-4.77,4
285,9147.91,-8.52,-8.52,6
286,9668.87,-3.31,-7.73,8
287,8853.39,-11.47,-11.47,11
288,9851.69,-1.48,-5.26,4
289,8841.23,-11.59,-11.59,8
290,9990.32,-0.1,-5.85,6
291,9581.68,-4.18,-6.44,4
292,9427.92,-5.72,-7.73,8
293,10151.26,1.51,-5.14,5
294,9841.82,-1.58,-4.41,4
295,10386.16,3.86,-1.99,2
296,9741.56,-2.58,-5.85,6
297,9090.37,-9.1,-11.36,12
298,9333.7,-6.66,-7.25,6
299,9678.4,-3.22,-4.19,4
300,10231.57,2.32,-4.9,5
301,9779.92,-2.2,-5.85,6
302,9730.08,-2.7,-3.94,4
303,9403.87,-5.96,-6.2,4
304,10733.59,7.34,-3.94,4
305,9427.92,-5.72,-5.85,6
306,11007.67,10.08,-1.99,2
307,9320.88,-6.79,-9.56,10
308,8853.39,-11.47,-12.25,13
309,9344.72,-6.55,-8.18,6
310,9101.1,-8.99,-10.47,11
311,9403.87,-5.96,-5.96,6
312,10494.92,4.95,-1.99,2
313,9077.89,-9.22,-9.22,5
314,9608.06,-3.92,-4.05,4
315,9655.59,-3.44,-5.85,6
316,9937.47,-0.63,-5.61,5
317,9427.92,-5.72,-6.09,6
318,8853.39,-11.47,-11.47,11
319,9368.62,-6.31,-6.31,6
320,9937.47,-0.63,-2.97,3
321,10193.43,1.93,-3.94,4
322,9344.72,-6.55,-7.14,5
323,10002.32,0.02,-3.94,4
324,10284.19,2.84,-2.97,3
325,9766.48,-2.34,-3.56,3
326,8909.43,-10.91,-12.25,13
327,8853.39,-11.47,-11.47,9
328,9939.41,-0.61,-5.5,5
329,9766.48,-2.34,-4.41,4
330,9902.15,-0.98,-7.73,8
331,9077.89,-9.22,-10.47,11
332,10427.05,4.27,-3.94,4
333,10117.19,1.17,-3.94,4
334,9953.08,-0.47,-4.17,4
335,10515.79,5.16,-4.9,5
336,9333.7,-6.66,-8.99,9
337,9964.83,-0.35,-6.31,6
338,8830.8,-11.69,-13.13,14
339,9619.4,-3.81,-4.66,4
340,9976.59,-0.23,-5.26,4
341,10294.32,2.94,-3.94,4
342,9171.31,-8.29,-8.29,5
343,9655.59,-3.44,-6.79,7
344,9403.87,-5.96,-8.18,6
345,9077.89,-9.22,-9.9,6
346,10336.87,3.37,-3.94,4
347,9158.71,-8.41,-9.79,8
348,9067.18,-9.33,-11.36,12
349,10664.17,6.64,-2.97,3
350,9766.48,-2.34,-4.9,5
351,9937.47,-0.63,-3.22,3
352,10666.07,6.66,-3.33,3
353,9101.1,-8.99,-8.99,6
354,10191.44,1.91,-6.09,6
355,9077.89,-9.22,-9.22,6
356,8841.23,-11.59,-11.59,10
357,8909.43,-10.91,-12.25,13
358,9691.72,-3.08,-4.05,3
359,10439.36,4.39,-5.85,6
360,10169.23,1.69,-2.97,3
361,9617.52,-3.82,-5.5,5
362,9888.55,-1.11,-6.9,6
363,9403.87,-5.96,-8.88,8
364,9147.91,-8.52,-11.36,12
365,9691.72,-3.08,-6.2,5
366,9976.59,-0.23,-5.14,4
367,9990.53,-0.09,-4.3,4
368,9090.37,-9.1,-9.1,7
369,9951.14,-0.49,-5.01,4
370,8841.23,-11.59,-11.59,7
371,10691.27,6.91,-2.11,2
372,9427.92,-5.72,-6.79,7
373,9171.31,-8.29,-8.76,8
374,10203.47,2.03,-3.81,3
375,9403.87,-5.96,-9.79,10
376,10910.53,9.11,-2.97,3
377,9678.4,-3.22,-7.27,5
378,8853.39,-11.47,-11.47,12
379,9937.47,-0.63,-3.94,4
380,9113.62,-8.86,-10.57,11
381,9427.92,-5.72,-5.72,5
382,9320.88,-6.79,-6.79,7
383,9581.68,-4.18,-7.73,8
384,8841.23,-11.59,-11.59,11
385,9978.54,-0.21,-4.9,5
386,9939.41,-0.61,-5.85,6
387,9693.6,-3.06,-3.45,3
388,10014.13,0.14,-6.31,5
389,10016.08,0.16,-2.36,2
390,10014.13,0.14,-5.37,5
391,10638.86,6.39,-3.94,4
392,9368.62,-6.31,-7.83,8
393,9583.54,-4.16,-6.2,6
394,10296.33,2.96,-3.94,4
395,9344.72,-6.55,-7.38,7
396,10229.57,2.3,-4.9,5
397,10091.38,0.91,-6.31,6
398,9863.32,-1.37,-3.33,3
399,9594.86,-4.05,-5.85,6
400,8841.23,-11.59,-11.59,9
401,9403.87,-5.96,-6.44,5
402,9951.14,-0.49,-7.03,5
403,8600.58,-13.99,-13.99,15
404,10308.49,3.08,-4.9,5
405,9655.59,-3.44,-4.9,5
406,10503.39,5.03,-3.94,4
407,8841.23,-11.59,-11.59,12
408,9581.68,-4.18,-5.85,4
409,9754.96,-2.45,-5.96,5
410,9861.4,-1.39,-7.73,8
411,9320.88,-6.79,-8.3,7
412,9851.69,-1.48,-3.08,3
413,10269.85,2.7,-2.97,3
414,10117.19,1.17,-4.05,4
415,9500.65,-4.99,-8.65,9
416,9403.87,-5.96,-7.6,7
417,10761.04,7.61,-1.99,2
418,8600.58,-13.99,-13.99,15
419,9171.31,-8.29,-10.01,9
420,8600.58,-13.99,-13.99,15
421,9978.54,-0.21,-3.33,3
422,9766.48,-2.34,-7.73,8
423,10105.26,1.05,-3.81,3
424,9990.32,-0.1,-5.85,6
425,9414.97,-5.85,-8.88,9
426,9320.88,-6.79,-7.38,6
427,9863.32,-1.37,-5.26,4
428,10053.56,0.54,-3.22,3
429,8909.43,-10.91,-11.36,12
430,9427.92,-5.72,-7.96,8
431,9691.72,-3.08,-7.73,8
432,9927.69,-0.72,-6.2,4
433,9693.6,-3.06,-5.37,4
434,8909.43,-10.91,-12.25,13
435,9368.62,-6.31,-6.31,6
436,10131.11,1.31,-4.9,5
437,8853.39,-11.47,-11.47,11
438,9229.37,-7.71,-12.25,13
439,9368.62,-6.31,-6.31,5
440,10517.84,5.18,-2.97,3
441,9113.62,-8.86,-8.86,6
442,9090.37,-9.1,-9.1,7
443,9925.75,-0.74,-4.9,4
444,9427.92,-5.72,-7.03,7
445,9392.78,-6.07,-8.99,9
446,9644.21,-3.56,-6.55,4
447,9766.48,-2.34,-6.2,5
448,9229.37,-7.71,-9.56,10
449,9067.18,-9.33,-9.33,6
450,9416.81,-5.83,-8.18,5
451,10257.74,2.58,-3.94,4
452,10584.42,5.84,-2.6,2
453,9392.78,-6.07,-8.65,9
454,9680.29,-3.2,-4.9,5
455,9158.71,-8.41,-8.41,6
456,9147.91,-8.52,-11.36,12
