trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
1,2026-05-08 02:54:07.853608+00:00,AAPL,hit_target,1.15,115.0,10115.0,10115.0,0.0,False
2,2026-05-08 02:54:07.854525+00:00,AAPL,hit_target,1.17,118.35,10233.35,10233.35,0.0,False
3,2026-05-08 02:54:07.861703+00:00,AAPL,expired,0.86,88.02,10321.37,10321.37,0.0,False
4,2026-05-08 02:54:07.888198+00:00,AAPL,expired,0.52,53.65,10375.02,10375.02,0.0,False
5,2026-05-08 02:54:07.919059+00:00,AAPL,hit_target,1.74,180.53,10555.54,10555.54,0.0,False
6,2026-05-08 02:54:07.921922+00:00,AAPL,hit_target,1.15,121.39,10676.93,10676.93,0.0,False
7,2026-05-08 02:54:07.922498+00:00,AAPL,hit_target,1.15,122.78,10799.72,10799.72,0.0,False
8,2026-05-08 02:54:07.925543+00:00,AAPL,hit_stop,-1.0,-108.0,10691.72,10799.72,-1.0,True
9,2026-05-08 02:54:07.955112+00:00,AAPL,hit_stop,-1.0,-106.92,10584.8,10799.72,-1.99,True
10,2026-05-08 02:54:07.965460+00:00,AAPL,hit_stop,-1.0,-105.85,10478.95,10799.72,-2.97,True
11,2026-05-08 02:54:07.997535+00:00,AAPL,expired,0.16,16.74,10495.7,10799.72,-2.82,True
12,2026-05-08 02:54:07.999153+00:00,AAPL,hit_target,1.61,168.98,10664.68,10799.72,-1.25,True
13,2026-05-08 02:54:07.999776+00:00,AAPL,hit_target,1.15,122.64,10787.32,10799.72,-0.11,True
14,2026-05-08 02:54:08.000808+00:00,AAPL,hit_target,1.15,124.05,10911.37,10911.37,0.0,False
15,2026-05-08 02:54:08.004417+00:00,AAPL,hit_target,1.15,125.48,11036.86,11036.86,0.0,False
16,2026-05-08 02:54:08.005290+00:00,AAPL,hit_target,1.15,126.92,11163.78,11163.78,0.0,False
17,2026-05-08 02:54:08.008270+00:00,AAPL,expired,0.919,102.55,11266.33,11266.33,0.0,False
18,2026-05-08 02:54:08.009061+00:00,AAPL,expired,0.327,36.79,11303.12,11303.12,0.0,False
19,2026-05-08 02:54:08.009617+00:00,AAPL,hit_target,1.15,129.99,11433.11,11433.11,0.0,False
20,2026-05-08 02:54:08.011020+00:00,AAPL,expired,-0.37,-42.27,11390.84,11433.11,-0.37,True
21,2026-05-08 02:54:08.875051+00:00,MSFT,hit_target,1.15,130.99,11521.83,11521.83,0.0,False
22,2026-05-08 02:54:08.876796+00:00,MSFT,hit_target,1.15,132.5,11654.33,11654.33,0.0,False
23,2026-05-08 02:54:08.878393+00:00,MSFT,expired,0.548,63.89,11718.22,11718.22,0.0,False
24,2026-05-08 02:54:08.880173+00:00,MSFT,hit_target,1.15,134.76,11852.98,11852.98,0.0,False
25,2026-05-08 02:54:08.881859+00:00,MSFT,hit_stop,-1.0,-118.53,11734.45,11852.98,-1.0,True
26,2026-05-08 02:54:08.890574+00:00,MSFT,hit_stop,-1.0,-117.34,11617.11,11852.98,-1.99,True
27,2026-05-08 02:54:08.903954+00:00,MSFT,expired,0.003,0.38,11617.49,11852.98,-1.99,True
28,2026-05-08 02:54:08.913206+00:00,MSFT,expired,0.804,93.46,11710.95,11852.98,-1.2,True
29,2026-05-08 02:54:08.915136+00:00,MSFT,expired,-0.195,-22.88,11688.07,11852.98,-1.39,True
30,2026-05-08 02:54:08.921707+00:00,MSFT,hit_stop,-1.0,-116.88,11571.18,11852.98,-2.38,True
31,2026-05-08 02:54:08.922333+00:00,MSFT,hit_stop,-1.0,-115.71,11455.47,11852.98,-3.35,True
32,2026-05-08 02:54:08.923064+00:00,MSFT,hit_stop,-1.0,-114.55,11340.92,11852.98,-4.32,True
33,2026-05-08 02:54:08.936134+00:00,MSFT,expired,-0.178,-20.23,11320.69,11852.98,-4.49,True
34,2026-05-08 02:54:08.950355+00:00,MSFT,expired,-0.427,-48.33,11272.36,11852.98,-4.9,True
35,2026-05-08 02:54:08.950774+00:00,MSFT,hit_stop,-1.0,-112.72,11159.63,11852.98,-5.85,True
