run,final_capital,total_return_pct,max_drawdown_pct,max_consec_losses
0,10038.4,0.38,-2.97,5
1,9629.7,-3.7,-5.49,6
2,10468.77,4.69,-2.66,3
3,10502.22,5.02,-4.55,6
4,9714.88,-2.85,-5.82,6
5,10663.09,6.63,-2.97,3
6,9764.42,-2.36,-3.77,4
7,9462.77,-5.37,-7.51,8
8,10826.87,8.27,-1.99,3
9,9524.26,-4.76,-5.28,5
10,10666.35,6.66,-1.99,3
11,9916.04,-0.84,-5.47,7
12,10855.0,8.55,-2.34,3
13,10070.9,0.71,-3.37,4
14,10340.1,3.4,-1.65,2
15,10099.11,0.99,-3.32,6
16,9676.98,-3.23,-6.14,4
17,9400.64,-5.99,-5.99,9
18,10241.73,2.42,-2.53,3
19,10519.5,5.19,-4.9,5
20,10039.32,0.39,-2.92,4
21,10241.18,2.41,-4.59,3
22,10077.75,0.78,-3.07,3
23,9719.34,-2.81,-4.04,3
24,9987.89,-0.12,-3.77,5
25,10989.39,9.89,-1.54,2
26,10298.86,2.99,-5.86,5
27,9807.51,-1.92,-4.53,4
28,9182.56,-8.17,-8.17,8
29,10112.82,1.13,-3.38,4
30,10061.11,0.61,-3.18,3
31,10256.67,2.57,-4.24,4
32,9527.92,-4.72,-4.72,4
33,10915.14,9.15,-2.61,4
34,10207.37,2.07,-3.24,5
35,9495.21,-5.05,-7.77,10
36,9980.71,-0.19,-3.01,4
37,10926.87,9.27,-2.93,4
38,10061.21,0.61,-2.06,3
39,9878.03,-1.22,-3.54,3
40,9493.76,-5.06,-7.14,8
41,10730.06,7.3,-2.53,3
42,10980.99,9.81,-1.99,3
43,10150.88,1.51,-3.95,4
44,10751.07,7.51,-2.01,2
45,9816.84,-1.83,-5.18,4
46,10909.28,9.09,-1.81,2
47,9762.91,-2.37,-3.39,4
48,9443.78,-5.56,-6.53,8
49,10558.42,5.58,-2.97,5
50,9909.91,-0.9,-5.34,5
51,10392.76,3.93,-5.43,5
52,10266.82,2.67,-3.64,6
53,9650.91,-3.49,-6.14,7
54,9693.74,-3.06,-4.82,5
55,10236.67,2.37,-4.47,6
56,10922.65,9.23,-1.59,2
57,9229.11,-7.71,-9.49,5
58,9458.8,-5.41,-6.87,7
59,9269.16,-7.31,-9.74,8
60,9709.62,-2.9,-4.28,5
61,10251.58,2.52,-3.51,6
62,10301.1,3.01,-4.92,5
63,9958.21,-0.42,-5.71,5
64,10271.44,2.71,-3.32,4
65,9377.38,-6.23,-8.47,5
66,9547.19,-4.53,-6.37,5
67,9826.73,-1.73,-3.83,2
68,10052.92,0.53,-4.52,5
69,9585.45,-4.15,-5.49,4
70,10627.22,6.27,-1.99,2
71,10335.68,3.36,-1.59,2
72,10571.26,5.71,-2.08,4
73,10833.15,8.33,-1.61,2
74,9580.14,-4.2,-7.43,8
75,9996.79,-0.03,-5.17,6
76,10448.39,4.48,-2.66,4
77,10281.65,2.82,-3.55,4
78,10165.98,1.66,-4.16,5
79,10152.09,1.52,-2.06,4
80,9752.63,-2.47,-6.93,8
81,9660.57,-3.39,-6.91,7
82,10373.37,3.73,-3.54,3
83,9670.33,-3.3,-8.93,12
84,10153.56,1.54,-3.59,5
85,10918.55,9.19,-2.08,3
86,9704.2,-2.96,-6.79,7
87,9885.62,-1.14,-3.19,3
88,10330.29,3.3,-3.33,7
89,10465.01,4.65,-2.58,3
90,10009.93,0.1,-3.77,5
91,10258.83,2.59,-1.99,2
92,10274.43,2.74,-1.54,2
93,9988.76,-0.11,-2.79,4
94,9243.68,-7.56,-9.18,12
95,9761.65,-2.38,-4.35,6
96,10076.0,0.76,-2.97,3
97,9679.76,-3.2,-4.44,7
98,10068.76,0.69,-3.06,4
99,9610.0,-3.9,-5.24,5
100,10308.34,3.08,-2.4,3
101,10013.11,0.13,-5.3,8
102,9711.48,-2.89,-4.56,6
103,9790.29,-2.1,-5.34,7
104,9773.1,-2.27,-5.69,4
105,10579.75,5.8,-2.18,3
106,9955.38,-0.45,-5.57,7
107,10530.74,5.31,-1.99,2
108,9582.37,-4.18,-5.39,4
109,10035.88,0.36,-2.18,3
110,10105.57,1.06,-2.88,5
111,10049.48,0.49,-2.18,3
112,10072.89,0.73,-3.38,3
113,10055.2,0.55,-4.9,5
114,10153.64,1.54,-2.74,5
115,10133.98,1.34,-3.39,6
116,9852.29,-1.48,-5.29,4
117,11143.3,11.43,-1.67,2
118,9478.29,-5.22,-6.54,5
119,10714.65,7.15,-1.59,3
120,9887.6,-1.12,-5.13,3
121,9953.77,-0.46,-5.17,6
122,9578.4,-4.22,-7.27,11
123,9197.57,-8.02,-8.47,6
124,9939.65,-0.6,-4.42,6
125,10998.68,9.99,-1.01,2
126,9828.28,-1.72,-7.39,8
127,9797.97,-2.02,-5.06,6
128,9795.23,-2.05,-2.82,4
129,11273.02,12.73,-1.99,2
130,10678.93,6.79,-2.98,4
131,9808.98,-1.91,-5.55,6
132,10110.31,1.1,-3.15,5
133,9546.64,-4.53,-5.77,4
134,9838.68,-1.61,-5.77,6
135,10009.88,0.1,-2.86,4
136,10053.59,0.54,-1.95,3
137,9903.8,-0.96,-3.07,3
138,9837.75,-1.62,-4.15,4
139,10394.16,3.94,-2.66,3
140,10781.01,7.81,-1.41,3
141,10020.93,0.21,-2.58,4
142,9237.02,-7.63,-8.61,8
143,10560.4,5.6,-2.8,4
144,10093.79,0.94,-2.71,3
145,10128.68,1.29,-3.84,5
146,10342.11,3.42,-2.71,5
147,10391.68,3.92,-2.66,6
148,9650.97,-3.49,-6.05,4
149,10438.52,4.39,-3.16,3
150,9980.14,-0.2,-4.46,5
151,10120.85,1.21,-5.38,8
152,9973.94,-0.26,-4.98,6
153,10361.82,3.62,-2.88,4
154,10094.22,0.94,-2.86,4
155,10323.73,3.24,-2.94,5
156,10411.87,4.12,-4.34,7
157,9891.4,-1.09,-2.72,4
158,9877.45,-1.23,-2.67,4
159,10561.25,5.61,-1.99,2
160,9941.93,-0.58,-3.7,4
161,9485.52,-5.14,-5.63,8
162,9781.37,-2.19,-5.68,6
163,9870.42,-1.3,-5.14,5
164,9765.44,-2.35,-5.72,7
165,9791.36,-2.09,-4.12,5
166,10304.92,3.05,-2.97,4
167,9968.01,-0.32,-3.19,4
168,9567.78,-4.32,-6.61,6
169,10272.15,2.72,-3.57,5
170,9749.3,-2.51,-6.1,6
171,10330.35,3.3,-4.72,3
172,10122.41,1.22,-2.71,3
173,9797.07,-2.03,-3.82,5
174,10831.27,8.31,-1.99,2
175,10199.61,2.0,-3.24,3
176,9730.62,-2.69,-3.71,4
177,9765.87,-2.34,-4.55,7
178,9704.8,-2.95,-4.89,3
179,10312.46,3.12,-4.0,5
180,10080.28,0.8,-2.8,4
181,11041.23,10.41,-3.42,3
182,10362.29,3.62,-2.97,3
183,10333.5,3.33,-2.34,3
184,11078.11,10.78,-1.99,2
185,10367.46,3.67,-1.99,2
186,9967.91,-0.32,-4.46,5
187,10455.25,4.55,-2.34,3
188,10294.12,2.94,-3.8,4
189,10206.68,2.07,-4.21,5
190,10116.97,1.17,-3.37,4
191,11451.09,14.51,-1.0,1
192,9896.7,-1.03,-3.63,5
193,10280.6,2.81,-2.14,5
194,9316.28,-6.84,-7.65,6
195,10311.86,3.12,-3.63,4
196,9879.96,-1.2,-4.65,6
197,9932.69,-0.67,-5.06,6
198,10632.63,6.33,-3.33,5
199,10409.7,4.1,-1.95,2
200,10847.71,8.48,-2.68,4
201,10290.68,2.91,-1.51,4
202,9624.19,-3.76,-7.68,10
203,9846.52,-1.53,-4.85,5
204,9833.58,-1.66,-6.95,5
205,9673.34,-3.27,-3.65,5
206,9267.13,-7.33,-7.33,8
207,10268.31,2.68,-1.95,3
208,9946.66,-0.53,-3.11,5
209,9736.3,-2.64,-5.74,5
210,10429.97,4.3,-4.23,3
211,9544.52,-4.55,-4.96,7
212,10239.82,2.4,-4.86,7
213,9869.71,-1.3,-5.7,5
214,9461.26,-5.39,-6.56,6
215,10731.05,7.31,-2.66,3
216,10731.78,7.32,-2.74,4
217,10231.71,2.32,-1.99,3
218,10705.81,7.06,-1.41,2
219,9763.77,-2.36,-2.97,5
220,9949.2,-0.51,-3.69,5
221,10129.19,1.29,-6.3,8
222,10041.74,0.42,-4.45,4
223,9453.23,-5.47,-6.03,4
224,9789.24,-2.11,-4.65,5
225,9758.79,-2.41,-5.01,7
226,10825.43,8.25,-3.06,4
227,10219.45,2.19,-2.84,4
228,10457.71,4.58,-2.98,4
229,9970.42,-0.3,-2.98,4
230,10204.52,2.05,-2.87,4
231,9765.83,-2.34,-5.94,9
232,10620.48,6.2,-1.67,3
233,9714.76,-2.85,-6.14,6
234,10040.62,0.41,-3.41,4
235,9784.01,-2.16,-4.94,5
236,9839.32,-1.61,-5.12,7
237,9667.96,-3.32,-5.85,6
238,9937.95,-0.62,-5.28,5
239,10509.06,5.09,-2.21,3
240,9239.99,-7.6,-8.35,8
241,10381.8,3.82,-1.85,2
242,10277.78,2.78,-2.34,3
243,10436.12,4.36,-2.74,5
244,10254.6,2.55,-4.13,4
245,9846.24,-1.54,-3.19,4
246,9860.17,-1.4,-7.86,9
247,10171.58,1.72,-4.15,5
248,9809.11,-1.91,-8.23,8
249,9605.93,-3.94,-6.73,8
250,10079.24,0.79,-4.65,4
251,9967.74,-0.32,-5.25,6
252,9781.43,-2.19,-3.72,4
253,9871.24,-1.29,-2.58,3
254,10793.02,7.93,-1.01,2
255,9658.46,-3.42,-5.6,7
256,10136.3,1.36,-3.68,5
257,10513.02,5.13,-2.48,4
258,9460.08,-5.4,-6.24,8
259,9913.14,-0.87,-3.99,5
260,10443.77,4.44,-1.07,1
261,10055.58,0.56,-2.66,3
262,10231.4,2.31,-4.52,5
263,10098.54,0.99,-4.29,5
264,10518.13,5.18,-2.66,3
265,10668.57,6.69,-1.67,2
266,9902.36,-0.98,-5.1,4
267,10796.48,7.96,-2.8,4
268,10489.92,4.9,-3.94,4
269,10528.32,5.28,-2.34,4
270,10099.2,0.99,-3.63,4
271,9434.82,-5.65,-7.91,8
272,10505.43,5.05,-1.99,3
273,10379.65,3.8,-2.58,3
274,10420.09,4.2,-3.61,2
275,10220.87,2.21,-4.16,6
276,9576.04,-4.24,-4.24,3
277,10666.37,6.66,-2.89,5
278,10731.96,7.32,-1.99,2
279,10460.31,4.6,-2.74,4
280,9700.18,-3.0,-4.92,4
281,10638.18,6.38,-1.99,2
282,10257.65,2.58,-3.03,4
283,10391.43,3.91,-1.73,3
284,10485.08,4.85,-2.72,3
285,9837.68,-1.62,-3.45,3
286,9332.95,-6.67,-7.73,8
287,10348.91,3.49,-2.74,4
288,9789.7,-2.1,-5.4,6
289,10522.76,5.23,-2.66,3
290,10204.04,2.04,-2.34,3
291,10831.48,8.31,-3.63,4
292,9879.64,-1.2,-2.53,3
293,9961.61,-0.38,-4.87,6
294,9957.39,-0.43,-3.14,4
295,10172.04,1.72,-3.54,4
296,10845.26,8.45,-1.76,3
297,9897.81,-1.02,-5.89,5
298,10322.45,3.22,-3.16,3
299,9913.72,-0.86,-5.43,7
300,9792.91,-2.07,-4.73,5
301,9975.16,-0.25,-2.84,3
302,10778.34,7.78,-1.67,3
303,10312.33,3.12,-3.31,5
304,10157.49,1.57,-2.01,4
305,9931.21,-0.69,-3.46,4
306,9934.11,-0.66,-4.05,6
307,11025.51,10.26,-2.97,3
308,9975.3,-0.25,-6.67,10
309,10095.71,0.96,-4.53,4
310,9979.35,-0.21,-3.08,3
311,10357.91,3.58,-5.01,5
312,10539.35,5.39,-2.71,2
313,10525.74,5.26,-1.68,4
314,10078.5,0.79,-4.24,6
315,10308.45,3.08,-2.72,3
316,9781.38,-2.19,-3.98,6
317,10094.34,0.94,-3.62,3
318,10510.45,5.1,-2.97,4
319,10717.22,7.17,-1.67,2
320,10286.67,2.87,-2.58,3
321,10117.14,1.17,-1.99,2
322,10461.59,4.62,-1.67,2
323,9647.98,-3.52,-4.88,7
324,9761.04,-2.39,-6.34,6
325,9528.99,-4.71,-8.07,9
326,10008.96,0.09,-3.22,4
327,10313.75,3.14,-1.99,3
328,10867.52,8.68,-2.3,5
329,9584.59,-4.15,-4.28,5
330,9553.38,-4.47,-8.16,6
331,10271.43,2.71,-2.53,3
332,10625.27,6.25,-1.99,3
333,9718.04,-2.82,-5.17,10
334,10512.37,5.12,-2.95,4
335,10469.17,4.69,-2.19,2
336,10570.05,5.7,-2.84,3
337,10249.13,2.49,-2.96,4
338,9739.28,-2.61,-2.78,2
339,9893.45,-1.07,-7.17,6
340,10078.82,0.79,-2.26,5
341,9178.18,-8.22,-8.35,7
342,9688.37,-3.12,-4.35,6
343,10499.64,5.0,-3.24,4
344,10212.97,2.13,-4.26,4
345,10718.48,7.18,-2.32,2
346,9908.18,-0.92,-3.81,2
347,10036.09,0.36,-3.8,4
348,9764.2,-2.36,-3.96,4
349,9738.43,-2.62,-2.95,4
350,9431.79,-5.68,-7.08,6
351,10114.79,1.15,-3.08,3
352,10200.08,2.0,-3.09,5
353,9525.96,-4.74,-5.3,7
354,10114.42,1.14,-4.03,6
355,10706.88,7.07,-1.0,2
356,9994.63,-0.05,-3.37,4
357,10123.84,1.24,-1.99,3
358,9529.95,-4.7,-8.17,10
359,9690.22,-3.1,-5.19,6
360,10091.33,0.91,-3.2,4
361,10712.48,7.12,-3.53,3
362,9836.43,-1.64,-4.11,4
363,9479.27,-5.21,-6.99,6
364,9828.91,-1.71,-5.05,5
365,10071.1,0.71,-2.4,3
366,9852.73,-1.47,-2.97,4
367,11023.99,10.24,-1.67,2
